row_label_raw,row_label_full,Khoản mục,Nhà cửa và vật kiến trúc (*),Tổng cộng,numeric__Nhà cửa và vật kiến trúc (*),numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,714.638.757.004,714.638.757.004,714638757004.0,714638757004.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(16.518.558.367),(16.518.558.367),-16518558367.0,-16518558367.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,698.120.198.637,698.120.198.637,698120198637.0,698120198637.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,114.770.611.813,114.770.611.813,114770611813.0,114770611813.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,27.514.106.493,27.514.106.493,27514106493.0,27514106493.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.712.668.093),(5.712.668.093),-5712668093.0,-5712668093.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,136.572.050.213,136.572.050.213,136572050213.0,136572050213.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,599.868.145.191,599.868.145.191,599868145191.0,599868145191.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,561.548.148.424,561.548.148.424,561548148424.0,561548148424.0
