row_label_raw,row_label_full,a. Ngắn hạn,12.054.729.598,6.864.169.107,numeric__12.054.729.598,numeric__6.864.169.107
Chi phí môi giới,Chi phí môi giới,Chi phí môi giới,-,4.779.400.003,,4779400003.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",841.131.598,961.298.817,841131598.0,961298817.0
Chi phí thuê kho (1),Chi phí thuê kho (1),Chi phí thuê kho (1),11.213.598.000,-,11213598000.0,
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,-,1.123.470.287,,1123470287.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,482.059.295.144,428.989.238.891,482059295144.0,428989238891.0
"Chi phí môi giới, nhà mẫu","Chi phí môi giới, nhà mẫu","Chi phí môi giới, nhà mẫu",375.957.127.566,354.287.825.047,375957127566.0,354287825047.0
"Chi phí thuê đất, mặt bằng (2)","Chi phí thuê đất, mặt bằng (2)","Chi phí thuê đất, mặt bằng (2)",99.682.213.697,68.606.217.571,99682213697.0,68606217571.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",4.243.918.944,6.095.196.273,4243918944.0,6095196273.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,2.176.034.937,-,2176034937.0,
Cộng,Cộng,Cộng,494.114.024.742,435.853.407.998,494114024742.0,435853407998.0
