row_label_raw,row_label_full,Bên liên quan,Bên liên quan_1,numeric__Bên liên quan_1
,,,Môi quan hệ,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con,
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty con,
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty con,
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty con,
Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty con,
Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty con,
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty con,
Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con,
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty con,
Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc (đã giải thể ngày 28/8/2024),Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc (đã giải thể ngày 28/8/2024),Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc (đã giải thể ngày 28/8/2024),Công ty con,
Công ty Cổ phần Đầu tư SVG (đã thoái vốn tại ngày 30/5/2024),Công ty Cổ phần Đầu tư SVG (đã thoái vốn tại ngày 30/5/2024),Công ty Cổ phần Đầu tư SVG (đã thoái vốn tại ngày 30/5/2024),Công ty liên kết,
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên kết trong Tập đoàn,
