row_label_raw,row_label_full,Cộng,col_1,(152.717.746.378),(74.917.319.998),numeric__col_1,numeric__(152.717.746.378),numeric__(74.917.319.998)
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,31/12/2024,01/01/2024,,,
Công ty Cổ phần Toàn Hải Vân,Người mua trả tiền trước > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Bán hàng hóa và dịch vụ,(35.000.000.000),(35.000.000.000),,-35000000000.0,-35000000000.0
Công ty Cổ phần May Tiến Phát,Người mua trả tiền trước > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Bán hàng hóa và dịch vụ,(20.000.000.000),(20.000.000.000),,-20000000000.0,-20000000000.0
Công ty TNHH MTV Kinh Doanh Dịch Vụ Địa Óc Sài Gòn Thương Tín,Người mua trả tiền trước > Công ty TNHH MTV Kinh Doanh Dịch Vụ Địa Óc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh Doanh Dịch Vụ Địa Óc Sài Gòn Thương Tín,Bán hàng hóa và dịch vụ,(88.633.449.797),(88.633.449.797),,-88633449797.0,-88633449797.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Người mua trả tiền trước > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Chuyển nhượng vốn,(315.400.000.000),-,,-315400000000.0,
Cộng,Người mua trả tiền trước > Cộng,Cộng,,(459.033.449.797),(143.633.449.797),,-459033449797.0,-143633449797.0
Phải trả khác,Phải trả khác,Phải trả khác,,31/12/2024,01/01/2024,,,
Công ty Cổ phần Toàn Hải Vân,Phải trả khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Được chi hộ,(139.856.014.647),(139.856.014.647),,-139856014647.0,-139856014647.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả khác > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Lãi vay,(30.619.301.932),(16.649.882.193),,-30619301932.0,-16649882193.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả khác > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Đặt cọc,(34.427.090.143),(34.427.090.143),,-34427090143.0,-34427090143.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Phải trả khác > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Đặt cọc,(25.489.861.200),(25.200.000.000),,-25489861200.0,-25200000000.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Phải trả khác > Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Lãi vay,(1.349.873.491),(4.293.150.688),,-1349873491.0,-4293150688.0
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Phải trả khác > Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Chi phí dự án,(9.082.000.000),(9.082.000.000),,-9082000000.0,-9082000000.0
