row_label_raw,row_label_full,Chi phí nhân viên,16.750.617.519,23.995.937.007,numeric__16.750.617.519,numeric__23.995.937.007
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,157.045.243,528.379.052,157045243.0,528379052.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,2.683.531.048,3.466.674.771,2683531048.0,3466674771.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",873.300.188,94.612.743,873300188.0,94612743.0
Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,(10.278.836.007),20.444.990.576,-10278836007.0,20444990576.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,18.039.351.658,31.935.490.205,18039351658.0,31935490205.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,2.541.158.482,3.952.490.093,2541158482.0,3952490093.0
Cộng,Cộng,Cộng,30.766.168.131,84.418.574.447,30766168131.0,84418574447.0
8. Thu nhập khác,8. Thu nhập khác,8. Thu nhập khác,Năm 2024,Năm 2023,,
Lãi từ ủy thác đầu tư,8. Thu nhập khác > Lãi từ ủy thác đầu tư,Lãi từ ủy thác đầu tư,15.120.033.160,-,15120033160.0,
Thu nhập từ phạt vi phạm hợp đồng,8. Thu nhập khác > Thu nhập từ phạt vi phạm hợp đồng,Thu nhập từ phạt vi phạm hợp đồng,517.044.000,5.310.851.932,517044000.0,5310851932.0
"Thu nhập từ thanh lý công cụ, dụng cụ","8. Thu nhập khác > Thu nhập từ thanh lý công cụ, dụng cụ","Thu nhập từ thanh lý công cụ, dụng cụ",389.014.689,-,389014689.0,
Thu nhập từ thanh lý tài sản cố định,8. Thu nhập khác > Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,261.224.070,124.331.917,261224070.0,124331917.0
Các khoản thu nhập khác,8. Thu nhập khác > Các khoản thu nhập khác,Các khoản thu nhập khác,26.917.685,18.220.993,26917685.0,18220993.0
Cộng,8. Thu nhập khác > Cộng,Cộng,16.314.233.604,5.453.404.842,16314233604.0,5453404842.0
9. Chi phí khác,9. Chi phí khác,9. Chi phí khác,Năm 2024,Năm 2023,,
Tiền phạt vi phạm hành chính,9. Chi phí khác > Tiền phạt vi phạm hành chính,Tiền phạt vi phạm hành chính,5.150.982.311,7.681.152.892,5150982311.0,7681152892.0
Tiền bồi thường do vi phạm hợp đồng,9. Chi phí khác > Tiền bồi thường do vi phạm hợp đồng,Tiền bồi thường do vi phạm hợp đồng,2.016.276.381,14.770.301.915,2016276381.0,14770301915.0
Các khoản chi phí khác,9. Chi phí khác > Các khoản chi phí khác,Các khoản chi phí khác,1.245.943.301,205.180.937,1245943301.0,205180937.0
Cộng,9. Chi phí khác > Cộng,Cộng,8.413.201.993,22.656.635.744,8413201993.0,22656635744.0
10. Chi phí thuế thu nhập doanh nghiệp hiện hành,10. Chi phí thuế thu nhập doanh nghiệp hiện hành,10. Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm 2024,Năm 2023,,
1. Tổng lợi nhuận kế toán trước thuế,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 1. Tổng lợi nhuận kế toán trước thuế,1. Tổng lợi nhuận kế toán trước thuế,77.371.275.090,142.590.606.684,77371275090.0,142590606684.0
"2. Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định thu nhập chịu thuế thu nhập doanh nghiệp:","10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 2. Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định thu nhập chịu thuế thu nhập doanh nghiệp:","2. Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định thu nhập chịu thuế thu nhập doanh nghiệp:",22.442.283.733,(164.604.786.195),22442283733.0,-164604786195.0
Các khoản điều chỉnh tăng,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,47.783.613.573,11.122.202.405,47783613573.0,11122202405.0
+ Chi phí không được trì,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > + Chi phí không được trì,+ Chi phí không được trì,3.413.137.919,11.122.202.405,3413137919.0,11122202405.0
+ Chi phí lãi vay không được trì theo ND 132,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > + Chi phí lãi vay không được trì theo ND 132,+ Chi phí lãi vay không được trì theo ND 132,44.370.475.654,-,44370475654.0,
Các khoản điều chỉnh giám,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > Các khoản điều chỉnh giám,Các khoản điều chỉnh giám,(25.341.329.840),(175.726.988.600),-25341329840.0,-175726988600.0
"+ Cổ tức, lợi nhuận nhận được","10. Chi phí thuế thu nhập doanh nghiệp hiện hành > + Cổ tức, lợi nhuận nhận được","+ Cổ tức, lợi nhuận nhận được",(25.341.329.840),(175.726.988.600),-25341329840.0,-175726988600.0
3. Thu nhập chịu thuế năm hiện hành (1+2),10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 3. Thu nhập chịu thuế năm hiện hành (1+2),3. Thu nhập chịu thuế năm hiện hành (1+2),99.813.558.823,(22.014.179.511),99813558823.0,-22014179511.0
4. Lỗ năm trước chuyển sang,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 4. Lỗ năm trước chuyển sang,4. Lỗ năm trước chuyển sang,(29.104.084.850),-,-29104084850.0,
5. Thu nhập chịu thuế hiện hành sau khi kết chuyển lỗ các năm trước,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 5. Thu nhập chịu thuế hiện hành sau khi kết chuyển lỗ các năm trước,5. Thu nhập chịu thuế hiện hành sau khi kết chuyển lỗ các năm trước,70.709.473.973,(22.014.179.511),70709473973.0,-22014179511.0
6. Chi phí thuế thu nhập doanh nghiệp hiện hành,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 6. Chi phí thuế thu nhập doanh nghiệp hiện hành,6. Chi phí thuế thu nhập doanh nghiệp hiện hành,14.141.894.795,-,14141894795.0,
7. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập doanh nghiệp năm nay,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 7. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập doanh nghiệp năm nay,7. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập doanh nghiệp năm nay,1.406.571.513,(4.194.643.503),1406571513.0,-4194643503.0
8. Tổng chi phí thuế thu nhập doanh nghiệp trong năm (*),10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 8. Tổng chi phí thuế thu nhập doanh nghiệp trong năm (*),8. Tổng chi phí thuế thu nhập doanh nghiệp trong năm (*),15.548.466.308,(4.194.643.503),15548466308.0,-4194643503.0
