row_label_raw,row_label_full,20. Phải trả khác,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,705.926.202.803,719.320.204.977,705926202803.0,719320204977.0
Tiền nhận đặt cọc mua căn hộ (1),Tiền nhận đặt cọc mua căn hộ (1),Tiền nhận đặt cọc mua căn hộ (1),447.431.465.994,460.403.087.732,447431465994.0,460403087732.0
"Các khoản được chi hộ, thu hộ","Các khoản được chi hộ, thu hộ","Các khoản được chi hộ, thu hộ",139.856.014.647,139.856.014.647,139856014647.0,139856014647.0
Phải trả lãi vay,Phải trả lãi vay,Phải trả lãi vay,49.619.646.610,32.717.898.298,49619646610.0,32717898298.0
Quỹ bảo trì chung cư,Quỹ bảo trì chung cư,Quỹ bảo trì chung cư,25.848.106.963,28.468.986.689,25848106963.0,28468986689.0
"Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",26.297.363.150,26.155.075.350,26297363150.0,26155075350.0
Phải trả về chuyển nhượng cổ phần,Phải trả về chuyển nhượng cổ phần,Phải trả về chuyển nhượng cổ phần,-,10.198.197.796,,10198197796.0
Nhận góp vốn hợp tác kinh doanh,Nhận góp vốn hợp tác kinh doanh,Nhận góp vốn hợp tác kinh doanh,3.707.395.000,3.707.395.000,3707395000.0,3707395000.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",13.166.210.439,17.813.549.465,13166210439.0,17813549465.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,58.644.109.794,73.838.464.176,58644109794.0,73838464176.0
"Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",58.644.109.794,48.615.464.176,58644109794.0,48615464176.0
Nhận góp vốn hợp tác kinh doanh,Nhận góp vốn hợp tác kinh doanh,Nhận góp vốn hợp tác kinh doanh,-,25.223.000.000,,25223000000.0
Cộng (*),Cộng (*),Cộng (*),764.570.312.597,793.158.669.153,764570312597.0,793158669153.0
