row_label_raw,row_label_full,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > Lĩnh vựckinh doanh,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > Tình trạng,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 31/12/2024,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 31/12/2024_1,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 31/12/2024_2,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 01/01/2024,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 01/01/2024_1,Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 01/01/2024_2,numeric__Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > Lĩnh vựckinh doanh,numeric__Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > Tình trạng,numeric__Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 31/12/2024,numeric__Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 31/12/2024_1,numeric__Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 31/12/2024_2,numeric__Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 01/01/2024,numeric__Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 01/01/2024_1,numeric__Các khoản đầu tư tài chính (tiếp theo)c. Đầu tư góp vốn vào đơn vị khácTên Công ty > 01/01/2024_2
,,,Lĩnh vựckinh doanh,Tình trạng,%sở hữu,Giá gốc(VND),Dự phòng(VND),%sở hữu,Giá gốc(VND),Dự phòng(VND),,,,,,,,
c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,c.1 Đầu tư vào công ty Con,,,,,,,,
+ Công ty TNHH MTV Kinh doanhDịch vụ Địa ốc Sài Gòn Thương Tín,c.1 Đầu tư vào công ty Con > + Công ty TNHH MTV Kinh doanhDịch vụ Địa ốc Sài Gòn Thương Tín,+ Công ty TNHH MTV Kinh doanhDịch vụ Địa ốc Sài Gòn Thương Tín,Cung cấpdịch vụ,Đang hoạt động,"100,00",70.000.000.000,-,"100,00",70.000.000.000,-,,,100.0,70000000000.0,,100.0,70000000000.0,
+ Công ty TNHH Dịch vụ Quản lý Bấtdộng sản Sài Gòn Thương Tín,c.1 Đầu tư vào công ty Con > + Công ty TNHH Dịch vụ Quản lý Bấtdộng sản Sài Gòn Thương Tín,+ Công ty TNHH Dịch vụ Quản lý Bấtdộng sản Sài Gòn Thương Tín,Cung cấpdịch vụ,Đang hoạt động,"94,44",85.000.000.000,-,"94,44",85.000.000.000,-,,,94.44,85000000000.0,,94.44,85000000000.0,
+ Công ty Cổ phần Đầu tư Phát triểnBất động sản Đông Sài Gòn,c.1 Đầu tư vào công ty Con > + Công ty Cổ phần Đầu tư Phát triểnBất động sản Đông Sài Gòn,+ Công ty Cổ phần Đầu tư Phát triểnBất động sản Đông Sài Gòn,Kinh doanhbất động sản,Đang hoạt động,"99,89",234.112.145.583,(13.411.818.893),"99,89",234.112.145.583,(9.513.442.765),,,99.89,234112145583.0,-13411818893.0,99.89,234112145583.0,-9513442765.0
+ Công ty Cổ phần Thương tin TàuCước (1),c.1 Đầu tư vào công ty Con > + Công ty Cổ phần Thương tin TàuCước (1),+ Công ty Cổ phần Thương tin TàuCước (1),Kinh doanhbất động sản,Đang hoạt động,"82,07",261.645.224.000,-,"92,20",293.940.224.000,-,,,82.07,261645224000.0,,92.2,293940224000.0,
+ Công ty Cổ phần Mai Lan,c.1 Đầu tư vào công ty Con > + Công ty Cổ phần Mai Lan,+ Công ty Cổ phần Mai Lan,Cung cấpdịch vụ,Đang hoạt động,"65,20",105.534.512.410,-,"65,20",105.534.512.410,-,,,65.2,105534512410.0,,65.2,105534512410.0,
+ Công ty TNHH Thương tin - CJ CầuTre,c.1 Đầu tư vào công ty Con > + Công ty TNHH Thương tin - CJ CầuTre,+ Công ty TNHH Thương tin - CJ CầuTre,Kinh doanhbất động sản,Đang hoạt động,"74,00",444.000.000.000,-,"74,00",444.000.000.000,-,,,74.0,444000000000.0,,74.0,444000000000.0,
+ Công ty Cổ phần Đầu tư Kinh doanhBất động sản Hùng Anh Năm,c.1 Đầu tư vào công ty Con > + Công ty Cổ phần Đầu tư Kinh doanhBất động sản Hùng Anh Năm,+ Công ty Cổ phần Đầu tư Kinh doanhBất động sản Hùng Anh Năm,Kinh doanhbất động sản,Đang hoạt động,"95,00",680.940.335.000,(15.685.855.982),"95,00",680.940.335.000,(16.347.314.441),,,95.0,680940335000.0,-15685855982.0,95.0,680940335000.0,-16347314441.0
+ Công ty CP Thương Maji Nguyễn KimĐà Nẵng,c.1 Đầu tư vào công ty Con > + Công ty CP Thương Maji Nguyễn KimĐà Nẵng,+ Công ty CP Thương Maji Nguyễn KimĐà Nẵng,Kinh doanhbất động sản,Đang hoạt động,"94,68",640.031.966.650,(6.211.346.567),"94,68",640.031.966.650,(10.389.852.315),,,94.68,640031966650.0,-6211346567.0,94.68,640031966650.0,-10389852315.0
