row_label_raw,row_label_full,hải thu về cho vay ngắn hạn > Phải thu về cho vay là các bên liên quan (xem thuyết minh IX.3) (1),31/12/2024 > Giá trị > 748.019.712.000,31/12/2024 > Dự phòng > -,01/01/2024 > Giá trị > 71.166.000.000,01/01/2024 > Dự phòng > -,numeric__31/12/2024 > Giá trị > 748.019.712.000,numeric__31/12/2024 > Dự phòng > -,numeric__01/01/2024 > Giá trị > 71.166.000.000,numeric__01/01/2024 > Dự phòng > -
Công ty TNHH Đầu tư Kinh doanh An Việt (2),Công ty TNHH Đầu tư Kinh doanh An Việt (2),Công ty TNHH Đầu tư Kinh doanh An Việt (2),384.833.500.000,-,2.000.000.000,-,384833500000.0,,2000000000.0,
Công ty Cổ phần Thực phẩm CJ Cầu Tre (3),Công ty Cổ phần Thực phẩm CJ Cầu Tre (3),Công ty Cổ phần Thực phẩm CJ Cầu Tre (3),156.000.000.000,-,156.000.000.000,-,156000000000.0,,156000000000.0,
Các tổ chức khác,Các tổ chức khác,Các tổ chức khác,73.800.694.445,-,142.846.494.445,-,73800694445.0,,142846494445.0,
Cộng,Cộng,Cộng,1.362.653.906.445,-,372.012.494.445,-,1362653906445.0,,372012494445.0,
