row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Giá trị_1,Số có khi năng trả nợ,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Giá trị_1,numeric__Số có khi năng trả nợ
a. Vay ngắn hạn,a. Vay ngắn hạn,a. Vay ngắn hạn,1.267.055.852.935,1.267.055.852.935,1.089.718.504.089,1.089.718.504.089,1267055852935.0,1267055852935.0,1089718504089.0,1089718504089.0
Vay từ cá nhân và tổ chức (1),Vay từ cá nhân và tổ chức (1),Vay từ cá nhân và tổ chức (1),565.342.126.842,565.342.126.842,428.821.926.287,428.821.926.287,565342126842.0,565342126842.0,428821926287.0,428821926287.0
Vay từ các bên liên quan (2),Vay từ các bên liên quan (2),Vay từ các bên liên quan (2),473.087.694.783,473.087.694.783,386.521.500.000,386.521.500.000,473087694783.0,473087694783.0,386521500000.0,386521500000.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),228.626.031.310,228.626.031.310,274.375.077.802,274.375.077.802,228626031310.0,228626031310.0,274375077802.0,274375077802.0
b. Vay dài hạn đến hạn trả,b. Vay dài hạn đến hạn trả,b. Vay dài hạn đến hạn trả,276.042.469.915,276.042.469.915,376.940.154.814,376.940.154.814,276042469915.0,276042469915.0,376940154814.0,376940154814.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),275.877.936.600,275.877.936.600,376.074.465.999,376.074.465.999,275877936600.0,275877936600.0,376074465999.0,376074465999.0
Nợ thuê tài chính dài hạn (4),Nợ thuê tài chính dài hạn (4),Nợ thuê tài chính dài hạn (4),164.533.315,164.533.315,865.688.815,865.688.815,164533315.0,164533315.0,865688815.0,865688815.0
c. Vay dài hạn,c. Vay dài hạn,c. Vay dài hạn,1.416.422.830.342,1.416.422.830.342,972.459.066.459,972.459.066.459,1416422830342.0,1416422830342.0,972459066459.0,972459066459.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),562.422.830.342,562.422.830.342,972.294.533.144,972.294.533.144,562422830342.0,562422830342.0,972294533144.0,972294533144.0
Vay từ cá nhân và tổ chức (1),Vay từ cá nhân và tổ chức (1),Vay từ cá nhân và tổ chức (1),4.000.000.000,4.000.000.000,-,-,4000000000.0,4000000000.0,,
Nợ thuê tài chính dài hạn (4),Nợ thuê tài chính dài hạn (4),Nợ thuê tài chính dài hạn (4),-,-,164.533.315,164.533.315,,,164533315.0,164533315.0
Trái phiếu (5),Trái phiếu (5),Trái phiếu (5),850.000.000.000,850.000.000.000,-,-,850000000000.0,850000000000.0,,
Cộng,Cộng,Cộng,2.959.521.153.192,2.959.521.153.192,2.439.117.725.362,2.439.117.725.362,2959521153192.0,2959521153192.0,2439117725362.0,2439117725362.0
