row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,90.175.781.818,20.731.835.147,110.907.616.965,90175781818.0,20731835147.0,110907616965.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,93.900.000,93.900.000,,93900000.0,93900000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(90.175.781.818),-,(90.175.781.818),-90175781818.0,,-90175781818.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(86.962.500),(86.962.500),,-86962500.0,-86962500.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,20.825.735.147,20.738.772.647,,20825735147.0,20738772647.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,10.963.023.559,10.963.023.559,,10963023559.0,10963023559.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,2.647.636.340,2.647.636.340,,2647636340.0,2647636340.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,13.610.659.899,13.610.659.899,,13610659899.0,13610659899.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,90.175.781.818,9.768.811.588,99.944.593.406,90175781818.0,9768811588.0,99944593406.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,7.215.075.248,7.128.112.748,,7215075248.0,7128112748.0
