row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2024,01/01/2024,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,4.683.689.156.050,4.745.423.431.250,100.0,,4683689156050.0,4745423431250.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.1,127.806.230.488,96.032.008.917,110.0,,127806230488.0,96032008917.0
1. Tiền,1. Tiền,1. Tiền,111,,104.932.708.267,31.310.138.443,111.0,,104932708267.0,31310138443.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,22.873.522.221,64.721.870.474,112.0,,22873522221.0,64721870474.0
II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,120,,55.841.754.011,10.882.863.432,120.0,,55841754011.0,10882863432.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,V.2a,2.863.432,2.863.432,121.0,,2863432.0,2863432.0
2. Đầu tư nắm giữ đến ngày đáo hạn,2. Đầu tư nắm giữ đến ngày đáo hạn,2. Đầu tư nắm giữ đến ngày đáo hạn,123,V.2b1,55.838.890.579,10.880.000.000,123.0,,55838890579.0,10880000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,2.334.388.206.131,2.369.111.666.681,130.0,,2334388206131.0,2369111666681.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.3,228.689.070.245,439.975.760.750,131.0,,228689070245.0,439975760750.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,V.4a,391.562.390.855,812.146.678.135,132.0,,391562390855.0,812146678135.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,V.5,1.362.653.906.445,372.012.494.445,135.0,,1362653906445.0,372012494445.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,V.6a,363.802.162.081,767.574.892.853,136.0,,363802162081.0,767574892853.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,"V.3,6a",(12.319.323.495),(22.598.159.502),137.0,,-12319323495.0,-22598159502.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,V.8,2.066.023.307.843,2.154.353.247.084,140.0,,2066023307843.0,2154353247084.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,2.067.003.722.491,2.155.333.661.732,141.0,,2067003722491.0,2155333661732.0
2. Dự phòng giám giá hàng tồn kho,2. Dự phòng giám giá hàng tồn kho,2. Dự phòng giám giá hàng tồn kho,149,,(980.414.648),(980.414.648),149.0,,-980414648.0,-980414648.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,99.629.657.577,115.043.645.136,150.0,,99629657577.0,115043645136.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,V.14a,12.054.729.598,6.864.169.107,151.0,,12054729598.0,6864169107.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,V.17b,87.574.927.979,108.179.476.029,152.0,,87574927979.0,108179476029.0
