row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Mua sắm tài sản cố định (""TSCĐ"")",,(636.100),(423.132),,,-636100.0,-423132.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,3.265,3.336,,,3265.0,3336.0
04,04,04,Mua sắm bất động sản đầu tư,,-,(500),,,,-500.0
05,05,05,"Tiền thu từ thanh lý, nhượng bán bất động sản đầu tư",,148.453,7.220,,,148453.0,7220.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,21.979,17.573,,,21979.0,17573.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(462.403),(395.503),,,-462403.0,-395503.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
02,02,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,-,29.400,,,,29400.0
03,03,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,(2.884.000),(170.000),,,-2884000.0,-170000.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(2.884.000),(140.600),,,-2884000.0,-140600.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,36.579.496,10.343.158,,,36579496.0,10343158.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,46.022.071,35.678.913,,,46022071.0,35678913.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,34,82.601.567,46.022.071,,34.0,82601567.0,46022071.0
