row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,819.706,676.176,1.495.882,819706.0,676176.0,1495882.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,36.180,29.265,65.445,36180.0,29265.0,65445.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1),-,18.486,18.486,,18486.0,18486.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,855.886,723.927,1.579.813,855886.0,723927.0,1579813.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,430.044,430.044,,430044.0,430044.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,72.291,72.291,,72291.0,72291.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,502.335,502.335,,502335.0,502335.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,819.706,246.132,1.065.838,819706.0,246132.0,1065838.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,855.886,221.592,1.077.478,855886.0,221592.0,1077478.0
Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,,,
,,,,31.12.2021Triệu VND,31.12.2020Triệu VND,,,
Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẩn còn sử dụng,Thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẩn còn sử dụng,Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẩn còn sử dụng,,223.303,166.205,,223303.0,166205.0
