row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Quá hạn > Tại ngày 31 tháng 12 năm 2021,Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2021,Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2021,Từ 1 đến 3 tháng > Tại ngày 31 tháng 12 năm 2021,Từ trên 3 đến 6 tháng > Tại ngày 31 tháng 12 năm 2021,Từ trên 6 đến 12 tháng > Tại ngày 31 tháng 12 năm 2021,Từ trên 1 đến 5 năm > Tại ngày 31 tháng 12 năm 2021,Trên 5 năm > Tại ngày 31 tháng 12 năm 2021,Tổng cộng > Tại ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Tại ngày 31 tháng 12 năm 2021,numeric__Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2021,numeric__Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Từ 1 đến 3 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Từ trên 3 đến 6 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Từ trên 6 đến 12 tháng > Tại ngày 31 tháng 12 năm 2021,numeric__Từ trên 1 đến 5 năm > Tại ngày 31 tháng 12 năm 2021,numeric__Trên 5 năm > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng cộng > Tại ngày 31 tháng 12 năm 2021
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,7.509.877,-,-,-,-,-,-,7.509.877,,7509877.0,,,,,,,7509877.0
Tiền gửi tại Ngân hàng Nhà nước,Tải sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,32.349.574,-,-,-,-,-,-,32.349.574,,32349574.0,,,,,,,32349574.0
Tiền gửi và cho vay các TCTD khác (i),Tải sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,-,30.808.712,17.638.104,-,1.107.010,264.950,-,49.818.776,,,30808712.0,17638104.0,,1107010.0,264950.0,,49818776.0
Chứng khoán kinh doanh (i),Tải sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,11.325.371,-,-,-,-,-,-,11.325.371,,11325371.0,,,,,,,11325371.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,226.545,-,-,-,-,-,-,226.545,,226545.0,,,,,,,226545.0
Cho vay khách hàng (i),Tải sản > Cho vay khách hàng (i),Cho vay khách hàng (i),2.529.608,-,7.922.658,327.462.393,20.007.710,3.377.609,349.198,263.362,361.912.538,2529608.0,,7922658.0,327462393.0,20007710.0,3377609.0,349198.0,263362.0,361912538.0
Chứng khoán đầu tư (i),Tải sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,103.883,-,-,-,1.811.691,6.679.738,50.887.298,59.482.610,,103883.0,,,,1811691.0,6679738.0,50887298.0,59482610.0
"Góp vốn, đầu tư dài hạn (i)","Tải sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,299.317,-,-,-,-,-,-,299.317,,299317.0,,,,,,,299317.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,3.762.548,-,-,-,-,-,-,3.762.548,,3762548.0,,,,,,,3762548.0
Bất động sản đầu tư,Tải sản > Bất động sản đầu tư,Bất động sản đầu tư,-,216.027,-,-,-,-,-,-,216.027,,216027.0,,,,,,,216027.0
Tài sản Có khác (i),Tải sản > Tài sản Có khác (i),Tài sản Có khác (i),177.231,6.925.161,6.956,-,-,-,-,-,7.109.348,177231.0,6925161.0,6956.0,,,,,,7109348.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,2.706.839,62.718.303,38.738.326,345.100.497,20.007.710,6.296.310,7.293.886,51.150.660,534.012.531,2706839.0,62718303.0,38738326.0,345100497.0,20007710.0,6296310.0,7293886.0,51150660.0,534012531.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,27.320.066,24.234.516,1.686.656,1.152.701,-,-,54.393.939,,,27320066.0,24234516.0,1686656.0,1152701.0,,,54393939.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,101.200.787,98.020.774,78.263.990,40.366.482,62.068.636,-,379.920.669,,,101200787.0,98020774.0,78263990.0,40366482.0,62068636.0,,379920669.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,64.945,-,-,-,21.121,86.066,,,,64945.0,,,,21121.0,86066.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,1.449.998,26.690.874,2.407.011,30.547.883,,,,,,1449998.0,26690874.0,2407011.0,30547883.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,17.206.890,-,-,129.000,347.700,236.888,-,17.920.478,,17206890.0,,,129000.0,347700.0,236888.0,,17920478.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,17.206.890,128.520.853,122.320.235,80.079.646,43.316.881,88.996.398,2.428.132,482.869.035,,17206890.0,128520853.0,122320235.0,80079646.0,43316881.0,88996398.0,2428132.0,482869035.0
Mức chênh nhạy cảm với lãi suất - nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - nội bảng,Mức chênh nhạy cảm với lãi suất - nội bảng,2.706.839,45.511.413,(89.782.527),222.780.262,(60.071.936),(37.020.571),(81.702.512),48.722.528,51.143.496,2706839.0,45511413.0,-89782527.0,222780262.0,-60071936.0,-37020571.0,-81702512.0,48722528.0,51143496.0
Mức chênh nhạy cảm với lãi suất - ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - ngoại bảng,Mức chênh nhạy cảm với lãi suất - ngoại bảng,-,(17.113.188),-,-,-,-,-,-,(17.113.188),,-17113188.0,,,,,,,-17113188.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,2.706.839,28.398.225,(89.782.527),222.780.262,(60.071.936),(37.020.571),(81.702.512),48.722.528,34.030.308,2706839.0,28398225.0,-89782527.0,222780262.0,-60071936.0,-37020571.0,-81702512.0,48722528.0,34030308.0
