row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.602.743,1.762.678,424.928,159.130,4.949.479,2602743.0,1762678.0,424928.0,159130.0,4949479.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,82,197.307,69.645,2.654,269.688,82.0,197307.0,69645.0,2654.0,269688.0
Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(i)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(i)),Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(i)),2.344,-,-,-,2.344,2344.0,,,,2344.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(78.025),(17.939),(2.133),(98.097),,-78025.0,-17939.0,-2133.0,-98097.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,2.605.169,1.881.960,476.634,159.651,5.123.414,2605169.0,1881960.0,476634.0,159651.0,5123414.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,561.825,1.265.665,257.184,147.890,2.232.564,561825.0,1265665.0,257184.0,147890.0,2232564.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,68.566,192.148,38.205,4.444,303.363,68566.0,192148.0,38205.0,4444.0,303363.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(77.841),(17.608),(2.134),(97.583),,-77841.0,-17608.0,-2134.0,-97583.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,630.391,1.379.972,277.781,150.200,2.438.344,630391.0,1379972.0,277781.0,150200.0,2438344.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.040.918,497.013,167.744,11.240,2.716.915,2040918.0,497013.0,167744.0,11240.0,2716915.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.974.778,501.988,198.853,9.451,2.685.070,1974778.0,501988.0,198853.0,9451.0,2685070.0
