row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2021Triệu VND,Tại ngày > 31.12.2020Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2021Triệu VND,numeric__Tại ngày > 31.12.2020Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,54.393.939,23.875.242,,15.0,54393939.0,23875242.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,41.380.571,15.081.349,,,41380571.0,15081349.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,13.013.368,8.793.893,,,13013368.0,8793893.0
III,B > III,III,Tiền gửi của khách hàng,16,379.920.669,353.195.838,,16.0,379920669.0,353195838.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,86.066,116.705,,17.0,86066.0,116705.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,30.547.883,22.049.697,,18.0,30547883.0,22049697.0
VII,B > VII,VII,Các khoản nợ khác,19,17.920.478,9.844.459,,19.0,17920478.0,9844459.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,4.637.581,5.097.042,,,4637581.0,5097042.0
2,B > 2,2,Thuế TNDN hoãn lại phải trả,19.1,-,67,,191.0,,67.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19.2,13.282.897,4.747.350,,192.0,13282897.0,4747350.0
,,,TỔNG NỘ PHẢI TRẢ,,482.869.035,409.081.941,,,482869035.0,409081941.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,20,44.900.909,35.448.163,,20.0,44900909.0,35448163.0
1,B > 1,1,Vốn của tổ chức tín dụng,20.1,27.291.260,21.887.364,,201.0,27291260.0,21887364.0
a,B > a,a,Vốn điều lệ,,27.019.481,21.615.585,,,27019481.0,21615585.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
2,B > 2,2,Quỹ của tổ chức tín dụng,20.1,7.164.297,5.741.759,,201.0,7164297.0,5741759.0
5,B > 5,5,Lợi nhuận chưa phân phối,20.1,10.445.352,7.819.040,,201.0,10445352.0,7819040.0
a,B > a,a,Lợi nhuận năm nay,,8.180.532,6.537.045,,,8180532.0,6537045.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,2.264.820,1.281.995,,,2264820.0,1281995.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,44.900.909,35.448.163,,,44900909.0,35448163.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,527.769.944,444.530.104,,,527769944.0,444530104.0
