row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2021Triệu VND,Tại ngày > 31.12.2020Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2021Triệu VND,numeric__Tại ngày > 31.12.2020Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quỹ",4,7.509.877,6.967.918,,4.0,7509877.0,6967918.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,32.349.574,16.616.798,,5.0,32349574.0,16616798.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,49.818.776,31.671.245,,6.0,49818776.0,31671245.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,6.1,43.713.230,23.311.116,,61.0,43713230.0,23311116.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,6.1,6.105.546,8.360.129,,61.0,6105546.0,8360129.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,11.259.731,6.167.917,,7.0,11259731.0,6167917.0
1,A > 1,1,Chứng khoán kinh doanh,,11.325.371,6.285.763,,,11325371.0,6285763.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(65.640),(117.846),,,-65640.0,-117846.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,226.545,54.473,,8.0,226545.0,54473.0
VI,A > VI,VI,Cho vay khách hàng,9,356.050.950,308.528.625,,9.0,356050950.0,308528625.0
1,A > 1,1,Cho vay khách hàng,,361.912.538,311.478.989,,,361912538.0,311478989.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9.7,(5.861.588),(2.950.364),,97.0,-5861588.0,-2950364.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,59.474.604,63.399.011,,10.0,59474604.0,63399011.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10.1,9.739.539,10.790.432,,101.0,9739539.0,10790432.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10.1,49.743.071,53.048.264,,101.0,49743071.0,53048264.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,10.3,(8.006),(439.685),,103.0,-8006.0,-439685.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,171.925,99.489,,11.0,171925.0,99489.0
2,A > 2,2,Vốn góp liên doanh,,-,856,,,,856.0
3,A > 3,3,Đầu tư vào công ty liên kết,,-,2.111,,,,2111.0
4,A > 4,4,Đầu tư dài hạn khác,11.2,299.317,101.827,,112.0,299317.0,101827.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,11.3,(127.392),(5.305),,113.0,-127392.0,-5305.0
X,A > X,X,Tài sản cố định,12,3.762.548,3.782.753,,12.0,3762548.0,3782753.0
1,A > 1,1,Tài sản cố định hữu hình,12.1,2.685.070,2.716.915,,121.0,2685070.0,2716915.0
a,A > a,a,Nguyên giá tài sản cố định,,5.123.414,4.949.479,,,5123414.0,4949479.0
b,A > b,b,Hao mòn tài sản cố định,,(2.438.344),(2.232.564),,,-2438344.0,-2232564.0
3,A > 3,3,Tài sản cố định vô hình,12.2,1.077.478,1.065.838,,122.0,1077478.0,1065838.0
a,A > a,a,Nguyên giá tài sản cố định,,1.579.813,1.495.882,,,1579813.0,1495882.0
b,A > b,b,Hao mòn tài sản cố định,,(502.335),(430.044),,,-502335.0,-430044.0
XI,A > XI,XI,Bất động sản đầu tư,13,216.027,348.778,,13.0,216027.0,348778.0
a,A > a,a,Nguyên giá bất động sản đầu tư,,216.027,356.358,,,216027.0,356358.0
b,A > b,b,Hao mòn bất động sản đầu tư,,-,(7.580),,,,-7580.0
XII,A > XII,XII,Tài sản Có khác,14,6.929.387,6.893.097,,14.0,6929387.0,6893097.0
1,A > 1,1,Các khoản phải thu,14.1,3.023.499,3.045.690,,141.0,3023499.0,3045690.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.171.877,3.638.207,,,3171877.0,3638207.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,14.4,44.370,50.724,,144.0,44370.0,50724.0
4,A > 4,4,Tài sản Có khác,14.2,869.602,1.115.297,,142.0,869602.0,1115297.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,14.3,(179.961),(956.821),,143.0,-179961.0,-956821.0
,,,TỔNG TÀI SẢN,,527.769.944,444.530.104,,,527769944.0,444530104.0
