row_label_raw,row_label_full,col_0,col_1,Tại ngày 31 tháng 12 năm 2020 > Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tại ngày 31 tháng 12 năm 2020 > Tổng giá trị ghi sở kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2020),Tại ngày 31 tháng 12 năm 2020 > Tổng giá trị ghi sở kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2020)_1,numeric__col_1,numeric__Tại ngày 31 tháng 12 năm 2020 > Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tại ngày 31 tháng 12 năm 2020 > Tổng giá trị ghi sở kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2020),numeric__Tại ngày 31 tháng 12 năm 2020 > Tổng giá trị ghi sở kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2020)_1
,,,,Triệu VND,Tài sảnTriệu VND,Công nợTriệu VND,,,,
,,,Công cụ tài chính phải sinh tiền tệ,,,,,,,
,,,- Giao dịch kỳ hạn tiền tệ,901.434,3.447,-,,901434.0,3447.0,
,,,- Giao dịch hoán đổi tiền tệ,28.600.664,51.026,-,,28600664.0,51026.0,
,,,Công cụ tài chính phải sinh khác,,,,,,,
,,,- Giao dịch hoán đổi lãi suất,2.784.000,-,-,,2784000.0,,
9,9,9,CHO VAY KHÁCH HÀNG,,,,,,,
9.1,9.1,9.1,Theo loại hình cho vay,,,,,,,
,,,,,31.12.2021Triệu VND,31.12.2020Triệu VND,,,,
,,,"Cho vay các tổ chức kinh tế, cá nhân trong nước Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá",,355.767.431,307.489.969,,,355767431.0,307489969.0
,,,Cho thuê tài chính,,139.743,125.407,,,139743.0,125407.0
,,,Các khoản trả thay khách hàng,,1.254.851,1.211.209,,,1254851.0,1211209.0
,,,"Cho vay bằng vốn tài trợ, ủy thác đầu tư",,199,199,,,199.0,199.0
,,,Cho vay giao dịch ký quỹ và ứng trước tiền bán chứng khoán,,935,1.949,,,935.0,1949.0
,,,,,4.749.379,2.650.256,,,4749379.0,2650256.0
,,,,,361.912.538,311.478.989,,,361912538.0,311478989.0
9.2,9.2,9.2,Phân tích theo đối tượng khách hàng,,,,,,,
,,,,,31.12.2021Triệu VND,31.12.2020Triệu VND,,,,
,,,Doanh nghiệp nhà nước,,1.038.065,1.170.762,,,1038065.0,1170762.0
,,,"Công ty cổ phần, công ty trách nhiệm hữu hạn, doanh nghiệp khác",,129.587.550,115.573.963,,,129587550.0,115573963.0
,,,Công ty liên doanh,,376.406,433.762,,,376406.0,433762.0
,,,Công ty 100% vốn nước ngoài,,46.454,776.700,,,46454.0,776700.0
,,,Hợp tác xã,,265.335,206.487,,,265335.0,206487.0
,,,Cá nhân và các đối tượng khác,,230.598.728,193.317.315,,,230598728.0,193317315.0
,,,,,361.912.538,311.478.989,,,361912538.0,311478989.0
