row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lý nợTriệu VND,Cho thuêtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lý nợTriệu VND,numeric__Cho thuêtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",6.967.909,-,9,-,-,-,6.967.918,6967909.0,,9.0,,,,6967918.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,3.734.392,47.629,-,732,-,-,3.782.753,3734392.0,47629.0,,732.0,,,3782753.0
Tài sản khác,Tải sản > Tài sản khác,Tài sản khác,431.291.448,4.109.084,402.430,1.246.906,56.547,(3.326.982),433.779.433,431291448.0,4109084.0,402430.0,1246906.0,56547.0,-3326982.0,433779433.0
,,,441.993.749,4.156.713,402.439,1.247.638,56.547,(3.326.982),444.530.104,441993749.0,4156713.0,402439.0,1247638.0,56547.0,-3326982.0,444530104.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,404.429.704,2.103.748,344.030,900.723,4.377,(1.456.553),406.326.029,404429704.0,2103748.0,344030.0,900723.0,4377.0,-1456553.0,406326029.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,1.436.647,11.239,71,2.840,298,-,1.451.095,1436647.0,11239.0,71.0,2840.0,298.0,,1451095.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,1.304.755,-,62,-,-,-,1.304.817,1304755.0,,62.0,,,,1304817.0
,,,407.171.106,2.114.987,344.163,903.563,4.675,(1.456.553),409.081.941,407171106.0,2114987.0,344163.0,903563.0,4675.0,-1456553.0,409081941.0
