row_label_raw,row_label_full,col_0,Triệu VND,numeric__Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,139.835,139835.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,4,4.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(139.839),-139839.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,7.580,7580.0
Chuyển sang bất động sản đầu tư nắm giữ chờ tăng giá,Khấu hao lũy kế > Chuyển sang bất động sản đầu tư nắm giữ chờ tăng giá,Chuyển sang bất động sản đầu tư nắm giữ chờ tăng giá,(492),-492.0
Thanh lý trong năm,Khấu hao lũy kế > Thanh lý trong năm,Thanh lý trong năm,(7.088),-7088.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,132.255,132255.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,
