row_label_raw,row_label_full,- Trích quỹ đầu tư phát triển,-,(26.312.392.643),(26.312.392.643)_1,numeric__-,numeric__(26.312.392.643),numeric__(26.312.392.643)_1
- Trích quỹ khen thưởng ban điều hành,- Trích quỹ khen thưởng ban điều hành,- Trích quỹ khen thưởng ban điều hành,-,(24.760.393.491),(24.760.393.491),,-24760393491.0,-24760393491.0
- Giảm khác,- Giảm khác,- Giảm khác,-,(668.521.278),(668.521.278),,-668521278.0,-668521278.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,1.544.039.910.000,226.924.138.250,1.770.964.048.250,1544039910000.0,226924138250.0,1770964048250.0
- Tăng vốn trong năm nay (i),- Tăng vốn trong năm nay (i),- Tăng vốn trong năm nay (i),1.029.359.940.000,-,1.029.359.940.000,1029359940000.0,,1029359940000.0
- Lãi trong năm nay,- Lãi trong năm nay,- Lãi trong năm nay,-,447.910.116.342,447.910.116.342,,447910116342.0,447910116342.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,(154.403.991.000),(154.403.991.000),,-154403991000.0,-154403991000.0
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,(32.977.217.583),(32.977.217.583),,-32977217583.0,-32977217583.0
"- Trích quỹ khen thưởng, ban điều hành","- Trích quỹ khen thưởng, ban điều hành","- Trích quỹ khen thưởng, ban điều hành",-,(41.121.363.217),(41.121.363.217),,-41121363217.0,-41121363217.0
- Giảm khác (ii),- Giảm khác (ii),- Giảm khác (ii),-,(187.722.229.678),(187.722.229.678),,-187722229678.0,-187722229678.0
Số dư tại 31/12/2019,Số dư tại 31/12/2019,Số dư tại 31/12/2019,2.573.399.850.000,258.609.453.114,2.832.009.303.114,2573399850000.0,258609453114.0,2832009303114.0
