row_label_raw,row_label_full,col_0,Tiền quỹ dự phòng và sửa chữa khu vực chung thu của khách hàng mua căn hộ (2% giá bán căn hộ nghi dưỡng),21.635.271.020,col_3,numeric__Tiền quỹ dự phòng và sửa chữa khu vực chung thu của khách hàng mua căn hộ (2% giá bán căn hộ nghi dưỡng),numeric__21.635.271.020,numeric__col_3
,,,Tiền đền bù giải phóng mặt bằng do Công ty CP Đầu tư và Phát triển Phong Phú nộp hộ,13.069.738.326,13.069.738.326,,13069738326.0,13069738326.0
,,,Công ty CP Senreal (trước đây là Công ty CP Đức Trí Tín Phú Quốc),3.383.281.000,3.383.281.000,,3383281000.0,3383281000.0
,,,Chi cục thuế huyện Quốc Oai,-,19.277.754.416,,,19277754416.0
,,,"Các khoản phải trả, phải nộp khác",10.528.784.029,11.270.299.363,,10528784029.0,11270299363.0
b),b),b),Dài hạn,15.352.572.723,16.774.558.738,,15352572723.0,16774558738.0
b),b),b),"Nhận ký quỹ, ký cược dài hạn",4.436.428.641,6.917.046.962,,4436428641.0,6917046962.0
b),b),b),"Các khoản phải trả, phải nộp khác",10.916.144.082,9.857.511.776,,10916144082.0,9857511776.0
b),b),b),Phí bảo trì Dự án Chi Đông,1.321.506.153,1.321.506.153,,1321506153.0,1321506153.0
b),b),b),Phí bảo trì dự án nhà ở xã hội,3.080.936.427,2.757.953.110,,3080936427.0,2757953110.0
b),b),b),Phải trả Công ty CP Senreal (trước đây là Công ty CP Đức Trí Tín Phú Quốc) (3),5.000.000.000,5.000.000.000,,5000000000.0,5000000000.0
b),b),b),Các đối tượng khác,1.513.701.502,778.052.513,,1513701502.0,778052513.0
