row_label_raw,row_label_full,Công nợ tài chính,31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,VND,VND,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.339.756.375.022,1.698.168.778.044,2339756375022.0,1698168778044.0
Trừ: Tiền và các khoản tương đương tiền,Công nợ tài chính > Trừ: Tiền và các khoản tương đương tiền,Trừ: Tiền và các khoản tương đương tiền,200.976.014.220,358.811.289.562,200976014220.0,358811289562.0
Nợ thuần,Công nợ tài chính > Nợ thuần,Nợ thuần,2.138.780.360.802,1.339.357.488.482,2138780360802.0,1339357488482.0
Vốn chủ sở hữu,Công nợ tài chính > Vốn chủ sở hữu,Vốn chủ sở hữu,3.665.754.321.085,2.471.279.455.701,3665754321085.0,2471279455701.0
Tỷ lệ nợ trên vốn chủ sở hữu,Công nợ tài chính > Tỷ lệ nợ trên vốn chủ sở hữu,Tỷ lệ nợ trên vốn chủ sở hữu,58%,54%,0.58,0.54
