row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2019,Đơn vị tính: VND 01/01/2019,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019,numeric__Đơn vị tính: VND 01/01/2019
A,A,A,TÀI SẢN NGĂN HẠN,100,,3.511.811.585.661,5.473.170.382.400,,100.0,,3511811585661.0,5473170382400.0
I,I,I,Tiền và các khoản tương đương tiền,110,V.1.,200.976.014.220,358.811.289.562,,110.0,,200976014220.0,358811289562.0
1,1,1,Tiền,111,,148.976.014.220,286.311.289.562,,111.0,,148976014220.0,286311289562.0
2,2,2,Các khoản tương đương tiền,112,,52.000.000.000,72.500.000.000,,112.0,,52000000000.0,72500000000.0
II,II,II,Đầu tư tài chính ngắn hạn,120,V.2.,1.023.697.936.833,1.163.400.000.000,,120.0,,1023697936833.0,1163400000000.0
1,1,1,Chứng khoán kinh doanh,121,,-,24.400.000,,121.0,,,24400000.0
2,2,2,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,(24.400.000),,122.0,,,-24400000.0
3,3,3,Đầu tư nắm giữ đến ngày đáo hạn,123,,1.023.697.936.833,1.163.400.000.000,,123.0,,1023697936833.0,1163400000000.0
III,III,III,Các khoản phải thu ngắn hạn,130,,1.013.248.643.463,1.563.086.862.974,,130.0,,1013248643463.0,1563086862974.0
1,1,1,Phải thu ngắn hạn của khách hàng,131,V.3.,625.226.319.285,664.194.542.486,,131.0,,625226319285.0,664194542486.0
2,2,2,Trà trước cho người bán ngắn hạn,132,V.4.,173.987.494.068,248.454.598.838,,132.0,,173987494068.0,248454598838.0
3,3,3,Phải thu về cho vay ngắn hạn,135,V.5.,179.600.000.000,86.900.000.000,,135.0,,179600000000.0,86900000000.0
4,4,4,Phải thu ngắn hạn khác,136,V.6.,70.034.322.456,586.908.739.945,,136.0,,70034322456.0,586908739945.0
5,5,5,Dự phòng phải thu ngắn hạn khó đòi,137,,(35.599.492.346),(23.371.018.295),,137.0,,-35599492346.0,-23371018295.0
IV,IV,IV,Hàng tồn kho,140,V.7.,1.021.560.301.438,2.244.364.133.826,,140.0,,1021560301438.0,2244364133826.0
1,1,1,Hàng tồn kho,141,,1.021.560.301.438,2.244.364.133.826,,141.0,,1021560301438.0,2244364133826.0
V,V,V,Tài sản ngắn hạn khác,150,,252.328.689.707,143.508.096.038,,150.0,,252328689707.0,143508096038.0
1,1,1,Chi phí trả trước ngắn hạn,151,V.13.,19.239.830.405,17.874.528.355,,151.0,,19239830405.0,17874528355.0
2,2,2,Thuế GTGT được khấu trừ,152,,233.060.394.969,115.956.410.684,,152.0,,233060394969.0,115956410684.0
3,3,3,Thuế và các khoản khác phải thu Nhà nước,153,V.16.,28.464.333,9.677.156.999,,153.0,,28464333.0,9677156999.0
B,B,B,TÀI SẢN DÀI HẠN,200,,4.525.549.995.306,2.949.320.031.678,,200.0,,4525549995306.0,2949320031678.0
I,I,I,Các khoản phải thu dài hạn,210,,7.459.136.001,5.322.405.789,,210.0,,7459136001.0,5322405789.0
1,1,1,Phải thu dài hạn khác,216,V.6.,8.806.498.136,6.669.767.924,,216.0,,8806498136.0,6669767924.0
2,2,2,Dự phòng phải thu dài hạn khó đòi,219,,(1.347.362.135),(1.347.362.135),,219.0,,-1347362135.0,-1347362135.0
II,II,II,Tài sản cố định,220,,1.390.592.203.568,1.202.440.409.442,,220.0,,1390592203568.0,1202440409442.0
1,1,1,Tài sản cố định hữu hình,221,V.10.,1.353.470.599.566,1.165.009.751.047,,221.0,,1353470599566.0,1165009751047.0
-,-,-,Nguyên giá,222,,1.549.783.706.951,1.302.851.921.753,,222.0,,1549783706951.0,1302851921753.0
-,-,-,Giá trị hao mòn lũy kế,223,,(196.313.107.385),(137.842.170.706),,223.0,,-196313107385.0,-137842170706.0
2,2,2,Tài sản cố định thuê tài chính,224,V.8.,6.287.632.395,8.431.680.003,,224.0,,6287632395.0,8431680003.0
-,-,-,Nguyên giá,225,,10.604.545.454,10.604.545.454,,225.0,,10604545454.0,10604545454.0
-,-,-,Giá trị hao mòn lũy kế,226,,(4.316.913.059),(2.172.865.451),,226.0,,-4316913059.0,-2172865451.0
3,3,3,Tài sản cố định vô hình,227,V.11.,30.833.971.607,28.998.978.392,,227.0,,30833971607.0,28998978392.0
-,-,-,Nguyên giá,228,,39.321.852.490,34.831.420.230,,228.0,,39321852490.0,34831420230.0
-,-,-,Giá trị hao mòn lũy kế,229,,(8.487.880.883),(5.832.441.838),,229.0,,-8487880883.0,-5832441838.0
III,III,III,Bất động sản đầu tư,230,V.12.,868.273.853.773,188.530.896.397,,230.0,,868273853773.0,188530896397.0
-,-,-,Nguyên giá,231,,926.457.222.782,223.859.538.130,,231.0,,926457222782.0,223859538130.0
-,-,-,Giá trị hao mòn lũy kế,232,,(58.183.369.009),(35.328.641.733),,232.0,,-58183369009.0,-35328641733.0
IV,IV,IV,Tài sản dở dang dài hạn,240,V.9.,1.747.248.052.558,1.167.244.076.367,,240.0,,1747248052558.0,1167244076367.0
1,1,1,Chi phí xây dựng cơ bản dở dang,242,,1.747.248.052.558,1.167.244.076.367,,242.0,,1747248052558.0,1167244076367.0
V,V,V,Đầu tư tài chính dài hạn,250,V.2.,1.600.000.000,1.600.000.000,,250.0,,1600000000.0,1600000000.0
1,1,1,Đầu tư góp vốn vào đơn vị khác,253,,1.600.000.000,1.600.000.000,,253.0,,1600000000.0,1600000000.0
VI,VI,VI,Tài sản dài hạn khác,260,,510.376.749.406,384.182.243.683,,260.0,,510376749406.0,384182243683.0
1,1,1,Chi phí trả trước dài hạn,261,V.13.,116.761.554.710,194.433.701.431,,261.0,,116761554710.0,194433701431.0
2,2,2,Tài sản thuế thu nhập hoãn lại,262,,15.826.329.877,21.929.154.247,,262.0,,15826329877.0,21929154247.0
3,3,3,Lợi thế thương mại,269,V.18.,377.788.864.819,167.819.388.005,,269.0,,377788864819.0,167819388005.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,8.037.361.580.967,8.422.490.414.078,,270.0,,8037361580967.0,8422490414078.0
