row_label_raw,row_label_full,Khoản mục,01/01/2019,Tăng trong năm,Giảm trong năm,Đơn vị tính: VND31/12/2019,numeric__01/01/2019,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Đơn vị tính: VND31/12/2019
Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,,,,
Nguyên giá,Bất động sản đầu tư cho thuê > Nguyên giá,Nguyên giá,223.859.538.130,786.988.767.347,84.391.082.695,926.457.222.782,223859538130.0,786988767347.0,84391082695.0,926457222782.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,3.407.568.000,114.922.058.746,6.191.805.092,112.137.821.654,3407568000.0,114922058746.0,6191805092.0,112137821654.0
- Nhà cửa vật kiến trúc,Bất động sản đầu tư cho thuê > - Nhà cửa vật kiến trúc,- Nhà cửa vật kiến trúc,220.451.970.130,672.066.708.601,78.199.277.603,814.319.401.128,220451970130.0,672066708601.0,78199277603.0,814319401128.0
Giá trị hao mòn lũy kế,Bất động sản đầu tư cho thuê > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,35.328.641.733,22.854.727.276,-,58.183.369.009,35328641733.0,22854727276.0,,58183369009.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,-,2.391.625.525,-,2.391.625.525,,2391625525.0,,2391625525.0
- Nhà và quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,35.328.641.733,20.463.101.751,-,55.791.743.484,35328641733.0,20463101751.0,,55791743484.0
Giá trị còn lại,Bất động sản đầu tư cho thuê > Giá trị còn lại,Giá trị còn lại,188.530.896.397,,,868.273.853.773,188530896397.0,,,868273853773.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,3.407.568.000,,,109.746.196.129,3407568000.0,,,109746196129.0
- Nhà và quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,185.123.328.397,,,758.527.657.644,185123328397.0,,,758527657644.0
