row_label_raw,row_label_full,Lợi thế thương mại chờ phân bổ,12.650.275.273,13.033.294.664,numeric__12.650.275.273,numeric__13.033.294.664
Chi phí khác chờ phân bổ,Chi phí khác chờ phân bổ,Chi phí khác chờ phân bổ,9.151.574.813,8.170.731.873,9151574813.0,8170731873.0
Cộng,Cộng,Cộng,136.001.385.115,212.308.229.786,136001385115.0,212308229786.0
