row_label_raw,row_label_full,Khoản mục,Máy móc thiết bị,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư ngày 01/01/2019,Nguyên giá > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Số dư ngày 31/12/2019,Nguyên giá > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư ngày 01/01/2019,Giá trị hao mòn lũy kế > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,2.172.865.451,2.172.865.451,2172865451.0,2172865451.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.144.047.608,2.144.047.608,2144047608.0,2144047608.0
Số dư ngày 31/12/2019,Giá trị hao mòn lũy kế > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,4.316.913.059,4.316.913.059,4316913059.0,4316913059.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày 01/01/2019,Giá trị còn lại > Tại ngày 01/01/2019,Tại ngày 01/01/2019,8.431.680.003,8.431.680.003,8431680003.0,8431680003.0
Tại ngày 31/12/2019,Giá trị còn lại > Tại ngày 31/12/2019,Tại ngày 31/12/2019,6.287.632.395,6.287.632.395,6287632395.0,6287632395.0
