row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị,31/12/2019 > Dự phòng,01/01/2019 > Giá trị,01/01/2019 > Dự phòng,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Dự phòng,numeric__01/01/2019 > Giá trị,numeric__01/01/2019 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty CP Đầu tư và Phát triển Đô thị Xanh,Ngắn hạn > Công ty CP Đầu tư và Phát triển Đô thị Xanh,Công ty CP Đầu tư và Phát triển Đô thị Xanh,36.638.133.811,-,3.854.829.336,-,36638133811.0,,3854829336.0,
Công ty TNHH MTV Đầu tư Trang Nguyễn Phú Quốc,Ngắn hạn > Công ty TNHH MTV Đầu tư Trang Nguyễn Phú Quốc,Công ty TNHH MTV Đầu tư Trang Nguyễn Phú Quốc,41.075.000.000,(6.796.500.000),41.775.000.000,(112.500.000),41075000000.0,-6796500000.0,41775000000.0,-112500000.0
Công ty CP Khách sạn An Thịnh Phát,Ngắn hạn > Công ty CP Khách sạn An Thịnh Phát,Công ty CP Khách sạn An Thịnh Phát,19.228.860.000,(7.120.470.000),19.228.860.000,-,19228860000.0,-7120470000.0,19228860000.0,
Công ty TNHH MTV Thu Hoài Phú Quốc,Ngắn hạn > Công ty TNHH MTV Thu Hoài Phú Quốc,Công ty TNHH MTV Thu Hoài Phú Quốc,-,-,18.288.400.000,-,,,18288400000.0,
Công ty CP Xây dựng và Dịch vụ thương mại Phú Quốc,Ngắn hạn > Công ty CP Xây dựng và Dịch vụ thương mại Phú Quốc,Công ty CP Xây dựng và Dịch vụ thương mại Phú Quốc,10.823.319.999,-,10.794.960.000,-,10823319999.0,,10794960000.0,
Công ty CP Xây dựng và Dịch vụ Nam Phát Phú Quốc,Ngắn hạn > Công ty CP Xây dựng và Dịch vụ Nam Phát Phú Quốc,Công ty CP Xây dựng và Dịch vụ Nam Phát Phú Quốc,10.774.080.000,-,10.774.080.000,-,10774080000.0,,10774080000.0,
Công ty CP Đầu tư khách sạn An Hung,Ngắn hạn > Công ty CP Đầu tư khách sạn An Hung,Công ty CP Đầu tư khách sạn An Hung,11.347.846.000,(1.115.303.000),11.347.846.000,-,11347846000.0,-1115303000.0,11347846000.0,
Các đối tượng khác,Ngắn hạn > Các đối tượng khác,Các đối tượng khác,495.339.079.475,(15.085.649.346),548.130.567.150,(22.876.948.295),495339079475.0,-15085649346.0,548130567150.0,-22876948295.0
Cộng,Ngắn hạn > Cộng,Cộng,625.226.319.285,(30.117.922.346),664.194.542.486,(22.989.448.295),625226319285.0,-30117922346.0,664194542486.0,-22989448295.0
