row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2019,Đơn vị tính: VND 01/01/2019,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019,numeric__Đơn vị tính: VND 01/01/2019
C,C,C,NỘ PHẢI TRẢ,300,,4.371.607.259.882,5.951.210.958.377,,300.0,,4371607259882.0,5951210958377.0
I,I,I,Nợ ngắn hạn,310,,2.654.414.238.013,4.964.993.749.028,,310.0,,2654414238013.0,4964993749028.0
1,1,1,Phải trả người bán ngắn hạn,311,V.14.,511.126.816.281,467.414.636.090,,311.0,,511126816281.0,467414636090.0
2,2,2,Người mua trả tiền trước ngắn hạn,312,V.15.,273.908.863.216,2.973.336.184.836,,312.0,,273908863216.0,2973336184836.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,V.16.,353.082.875.022,95.912.198.758,,313.0,,353082875022.0,95912198758.0
4,4,4,Phải trả người lao động,314,,26.478.281.729,22.320.922.872,,314.0,,26478281729.0,22320922872.0
5,5,5,Chi phí phải trả ngắn hạn,315,V.17.,184.208.912.880,207.783.272.904,,315.0,,184208912880.0,207783272904.0
6,6,6,Doanh thu chưa thực hiện ngắn hạn,318,V.20.,5.485.188.393,14.260.454.995,,318.0,,5485188393.0,14260454995.0
7,7,7,Phải trả ngắn hạn khác,319,V.21.,152.444.436.370,125.284.221.920,,319.0,,152444436370.0,125284221920.0
8,8,8,Vay và nợ thuê tài chính ngắn hạn,320,V.19.,1.069.694.661.051,969.933.771.218,,320.0,,1069694661051.0,969933771218.0
9,9,9,"Quỹ khen thưởng, phúc lợi",322,,77.984.203.071,88.748.085.435,,322.0,,77984203071.0,88748085435.0
II,II,II,Nợ dài hạn,330,,1.717.193.021.869,986.217.209.349,,330.0,,1717193021869.0,986217209349.0
1,1,1,Chi phí phải trả dài hạn,333,V.17.,167.619.871.323,75.723.565.512,,333.0,,167619871323.0,75723565512.0
2,2,2,Doanh thu chưa thực hiện dài hạn,336,V.20.,254.158.136.498,158.403.996.748,,336.0,,254158136498.0,158403996748.0
3,3,3,Phải trả dài hạn khác,337,V.21.,15.352.572.723,16.774.558.738,,337.0,,15352572723.0,16774558738.0
4,4,4,Vay và nợ thuê tài chính dài hạn,338,V.19.,1.270.061.713.971,728.235.006.826,,338.0,,1270061713971.0,728235006826.0
5,5,5,Thuế thu nhập hoãn lại phải trả,341,,10.000.727.354,7.080.081.525,,341.0,,10000727354.0,7080081525.0
D,D,D,VỐN CHỦ SỞ HỮU,400,,3.665.754.321.085,2.471.279.455.701,,400.0,,3665754321085.0,2471279455701.0
I,I,I,Vốn chủ sở hữu,410,V.22.,3.665.754.321.085,2.471.279.455.701,,410.0,,3665754321085.0,2471279455701.0
1,1,1,Vốn góp của chủ sở hữu,411,,2.573.399.850.000,1.544.039.910.000,,411.0,,2573399850000.0,1544039910000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.573.399.850.000,1.544.039.910.000,,,,2573399850000.0,1544039910000.0
2,2,2,Quỹ đầu tư phát triển,418,,149.940.147.087,120.119.472.243,,418.0,,149940147087.0,120119472243.0
3,3,3,Lợi nhuận sau thuế chưa phân phối,421,,258.609.453.114,226.924.138.250,,421.0,,258609453114.0,226924138250.0
,,,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,(2.593.298.222),3.681.343.323,,,,-2593298222.0,3681343323.0
,,,- LNST chưa phân phối năm nay,421b,,261.202.751.336,223.242.794.927,,,,261202751336.0,223242794927.0
4,4,4,Lợi ích cổ đông không kiểm soát,429,,683.804.870.884,580.195.935.208,,429.0,,683804870884.0,580195935208.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,8.037.361.580.967,8.422.490.414.078,,440.0,,8037361580967.0,8422490414078.0
