row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,"numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư ngày 01/01/2019,Nguyên giá > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,1.185.970.371.779,54.799.379.228,52.435.284.140,4.331.033.470,5.315.853.136,1.302.851.921.753,1185970371779.0,54799379228.0,52435284140.0,4331033470.0,5315853136.0,1302851921753.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.856.182,21.219.748.493,11.669.854.574,5.080.252.609,1.548.417.182,39.520.129.040,1856182.0,21219748493.0,11669854574.0,5080252609.0,1548417182.0,39520129040.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,229.335.577.703,-,-,-,-,229.335.577.703,229335577703.0,,,,,229335577703.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.363.636.364),(845.454.544),-,-,(2.209.090.908),,-1363636364.0,-845454544.0,,,-2209090908.0
Giảm khác (*),Nguyên giá > Giảm khác (*),Giảm khác (*),(19.714.830.637),-,-,-,-,(19.714.830.637),-19714830637.0,,,,,-19714830637.0
Số dư ngày 31/12/2019,Nguyên giá > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,1.395.592.975.027,74.655.491.357,63.259.684.170,9.411.286.079,6.864.270.318,1.549.783.706.951,1395592975027.0,74655491357.0,63259684170.0,9411286079.0,6864270318.0,1549783706951.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư ngày 01/01/2019,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,99.660.046.252,14.280.336.818,18.738.253.060,2.552.251.513,2.611.283.063,137.842.170.706,99660046252.0,14280336818.0,18738253060.0,2552251513.0,2611283063.0,137842170706.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,31.025.806.670,14.157.260.574,11.944.337.289,1.692.578.683,1.024.429.006,59.844.412.222,31025806670.0,14157260574.0,11944337289.0,1692578683.0,1024429006.0,59844412222.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(80.034.213),(251.332.532),-,-,(331.366.745),,-80034213.0,-251332532.0,,,-331366745.0
Giảm khác (*),Giá trị hao mòn luỹ kế > Giảm khác (*),Giảm khác (*),(742.108.798),-,-,-,-,(742.108.798),-742108798.0,,,,,-742108798.0
Số dư ngày 31/12/2019,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,129.943.744.124,28.357.563.179,30.431.257.817,4.244.830.196,3.635.712.069,196.613.107.385,129943744124.0,28357563179.0,30431257817.0,4244830196.0,3635712069.0,196613107385.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 01/01/2019,Giá trị còn lại > Tại ngày 01/01/2019,Tại ngày 01/01/2019,1.086.310.325.527,40.519.042.410,33.697.031.080,1.778.781.957,2.704.570.073,1.165.009.751.047,1086310325527.0,40519042410.0,33697031080.0,1778781957.0,2704570073.0,1165009751047.0
Tại ngày 31/12/2019,Giá trị còn lại > Tại ngày 31/12/2019,Tại ngày 31/12/2019,1.265.649.230.903,46.297.928.178,32.828.426.353,5.166.455.883,3.228.558.249,1.353.470.599.566,1265649230903.0,46297928178.0,32828426353.0,5166455883.0,3228558249.0,1353470599566.0
(*) Giảm khác là:,(*) Giảm khác là:,(*) Giảm khác là:,(*) Giảm khác là:,(*) Giảm khác là:,(*) Giảm khác là:,(*) Giảm khác là:,(*) Giảm khác là:,(*) Giảm khác là:,,,,,,
