row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Mã số,Thuyết minh,Năm 2019,Đơn vị tính: VND Năm 2018,numeric__Chỉ tiêu_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2019,numeric__Đơn vị tính: VND Năm 2018
1,1,1,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1.,4.550.482.235.973,2.246.237.955.258,,1.0,,4550482235973.0,2246237955258.0
2,2,2,Các khoản giảm trừ doanh thu,02,VI.2.,427.324.660,-,,2.0,,427324660.0,
3,3,3,Doanh thu thuần bán hàng và cung cấp dịch vụ (10=01-02),10,,4.550.054.911.313,2.246.237.955.258,,10.0,,4550054911313.0,2246237955258.0
4,4,4,Giá vốn hàng bán,11,VI.3.,3.110.631.520.602,1.390.960.786.519,,11.0,,3110631520602.0,1390960786519.0
5,5,5,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.439.423.390.711,855.277.168.739,,20.0,,1439423390711.0,855277168739.0
6,6,6,Doanh thu hoạt động tài chính,21,VI.4.,71.893.929.061,76.983.573.893,,21.0,,71893929061.0,76983573893.0
7,7,7,Chi phí tài chính,22,VI.5.,159.434.784.094,140.189.874.051,,22.0,,159434784094.0,140189874051.0
7,7,7,Trong đó: Chi phí lãi vay,23,,147.075.524.450,117.857.666.994,,23.0,,147075524450.0,117857666994.0
8,8,8,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-,,24.0,,,
9,9,9,Chi phí bán hàng,25,VI.8.,210.210.242.008,60.902.502.572,,25.0,,210210242008.0,60902502572.0
10,10,10,Chi phí quản lý doanh nghiệp,26,VI.8.,294.497.758.058,241.629.255.790,,26.0,,294497758058.0,241629255790.0
11,11,11,Lợi nhuận thuần từ hoạt động kinh doanh {30=20+(21-22)+24-(25+26)},30,,847.174.535.612,489.539.110.219,,30.0,,847174535612.0,489539110219.0
12,12,12,Thu nhập khác,31,VI.6.,11.213.584.962,48.938.980.456,,31.0,,11213584962.0,48938980456.0
13,13,13,Chi phí khác,32,VI.7.,24.029.560.975,35.636.378.704,,32.0,,24029560975.0,35636378704.0
14,14,14,Lợi nhuận khác (40=31-32),40,,(12.815.976.013),13.302.601.752,,40.0,,-12815976013.0,13302601752.0
15,15,15,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,834.358.559.599,502.841.711.971,,50.0,,834358559599.0,502841711971.0
16,16,16,Chi phí thuế TNDN hiện hành,51,VI.9.,217.528.675.318,135.310.062.050,,51.0,,217528675318.0,135310062050.0
17,17,17,Chi phí thuế TNDN hoãn lại,52,VI.10.,9.023.470.199,(4.545.878.055),,52.0,,9023470199.0,-4545878055.0
18,18,18,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,607.806.414.082,372.077.527.976,,60.0,,607806414082.0,372077527976.0
19,19,19,Lợi nhuận sau thuế của cổ đông công ty mẹ,61,,447.910.116.342,223.231.507.253,,61.0,,447910116342.0,223231507253.0
20,20,20,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,159.896.297.740,148.846.020.723,,62.0,,159896297740.0,148846020723.0
21,21,21,Lãi cơ bản trên cổ phiếu,70,VI.11.,"2.061,16","1.301,19",,70.0,,2061.16,1301.19
