row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi ích của Công ty mẹ,Quyền biểu quyết của Công ty mẹ,numeric__Tên Công ty,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích của Công ty mẹ,numeric__Quyền biểu quyết của Công ty mẹ
7.,7.,7.,Công ty Cổ phần Du lịch C.E.O,"Tầng 2, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","Cung cấp dịch vụ nhà hàng ăn uống, tổ chức tour du lịch, ...",51%,51%,,,,0.51,0.51
8.,8.,8.,Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc,"Khu tổ hợp du lịch Sonasea Villas and Resort, tổ 5, ấp Đường Bảo, Xã Dương Tơ, Huyện Phú Quốc, Tỉnh Kiên Giang, Việt Nam","Kinh doanh bất động sản, quyền sử dụng đất, ...","51,59%","51,59%",,,,0.5159,0.5159
9.,9.,9.,Công ty TNHH C.E.O Hospitality (trước đây là Công ty TNHH MTV Khách sạn và Nghi dưỡng C.E.O) (i),"Khu tổ hợp du lịch Sonasea Villas and Resort, tổ 5, ấp Đường Bảo, Xã Dương Tơ, Huyện Phú Quốc, Tỉnh Kiên Giang, Việt Nam","Nhà hàng, dịch vụ lưu trú ngắn ngày, quản lý bất động sản,...",100%,100%,,,,1.0,1.0
10.,10.,10.,Công ty Cổ phần Đầu tư và Phát triển du lịch Vân Đồng,"Khu tổ hợp du lịch nghi dưỡng Sonasea Vân đồn Harbor City, xã Hạ Long, huyện Vân đồn, tỉnh Quảng ninh, Việt Nam","Đầu tư và Phát triển du lịch, kinh doanh bất động sản, du lịch,...",90%,90%,,,,0.9,0.9
11.,11.,11.,Công ty Cổ phần Đầu tư và Phát triển Nha Trang,"Lô D12B, khu 4, khu du lịch Bắc Bán đảo Cam Ranh, xã Cam Hải Đông, huyện Cam Lâm, tỉnh Khánh Hòa, Việt Nam","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.",99%,99%,,,,0.99,0.99
12.,12.,12.,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,"M2, đường số 27, Khu đô thị mới Hưng Phú, KV2, phường Hưng Thạnh, quận Cái Răng, Cần Thơ, Việt Nam","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.",99%,99%,,,,0.99,0.99
13.,13.,13.,Công ty TNHH MTV Tư vấn và Thiết kế C.E.O,"Tầng 3, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","Tư vấn lập quy hoạch xây dựng; Thiết kế, thẩm tra thiết kế xây dựng công trình",100%,100%,,,,1.0,1.0
