row_label_raw,row_label_full,Mẫu số B 09 - DN/HN,Mẫu số B 09 - DN/HN_1,Mẫu số B 09 - DN/HN_2,Mẫu số B 09 - DN/HN_3,Mẫu số B 09 - DN/HN_4,Mẫu số B 09 - DN/HN_5,Mẫu số B 09 - DN/HN_6,Mẫu số B 09 - DN/HN_7,Mẫu số B 09 - DN/HN_8,numeric__Mẫu số B 09 - DN/HN_1,numeric__Mẫu số B 09 - DN/HN_2,numeric__Mẫu số B 09 - DN/HN_3,numeric__Mẫu số B 09 - DN/HN_4,numeric__Mẫu số B 09 - DN/HN_5,numeric__Mẫu số B 09 - DN/HN_6,numeric__Mẫu số B 09 - DN/HN_7,numeric__Mẫu số B 09 - DN/HN_8
N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo),,,,,,,,
: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),: thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),,,,,,,,
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,,,,,,,,
Khoản mục,Khoản mục,Khoản mục,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty TNHH C.E.O Quốc tế,Công ty CP Đầu tư BMC - CEO,Công ty CP Du lịch C.E.O,Công ty CP Phát triển Nhà và Đô thị Phú Quốc,Công ty TNHH Đầu tư và Phát triển Bãi Trường Việt Nam,Công ty Cổ phần Đầu tư và Phát triển Nha Trang,Đơn vị tính: VND Cộng,,,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,
Số dư ngày 01/01/2019,Nguyên giá > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,90.029.000.000,3.919.980.000,13.683.536.032,44.622.197,127.838.439.012,-,45.859.856.714,281.375.433.955,90029000000.0,3919980000.0,13683536032.0,44622197.0,127838439012.0,,45859856714.0,281375433955.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,-,-,245.000.000.000,-,245.000.000.000,,,,,,245000000000.0,,245000000000.0
Số dư ngày 31/12/2019,Nguyên giá > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,90.029.000.000,3.919.980.000,13.683.536.032,44.622.197,127.838.439.012,245.000.000.000,45.859.856.714,526.375.433.955,90029000000.0,3919980000.0,13683536032.0,44622197.0,127838439012.0,245000000000.0,45859856714.0,526375433955.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,,,,,,,,
Số dư ngày 01/01/2019,Giá trị phân bổ lũy kế > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,67.536.571.434,2.743.986.000,10.946.828.827,44.622.197,27.698.328.452,-,4.585.709.040,113.556.045.950,67536571434.0,2743986000.0,10946828827.0,44622197.0,27698328452.0,,4585709040.0,113556045950.0
