row_label_raw,row_label_full,1.,Tổng doanh thu bán hàng và cung cấp dịch vụ,Năm 2019VND,Năm 2018VND,numeric__Tổng doanh thu bán hàng và cung cấp dịch vụ,numeric__Năm 2019VND,numeric__Năm 2018VND
1.,1.,1.,Doanh thu,,,,,
1.,1. > 1.,1.,Doanh thu cung cấp dịch vụ,613.188.332.722,546.965.831.628,,613188332722.0,546965831628.0
1.,1. > 1.,1.,Doanh thu kinh doanh bất động sản,3.816.682.319.368,1.619.410.799.909,,3816682319368.0,1619410799909.0
1.,1. > 1.,1.,Doanh thu kinh doanh thương mại,120.611.583.883,79.861.323.721,,120611583883.0,79861323721.0
1.,1. > 1.,1.,Cộng,4.550.482.235.973,2.246.237.955.258,,4550482235973.0,2246237955258.0
2.,2.,2.,Các khoản giảm trừ doanh thu,Năm 2019VND,Năm 2018VND,,,
2.,2. > 2.,2.,Hàng bán bị trả lại,427.324.660,-,,427324660.0,
2.,2. > 2.,2.,Cộng,427.324.660,-,,427324660.0,
3.,3.,3.,Giá vốn hàng bán,Năm 2019VND,Năm 2018VND,,,
3.,3. > 3.,3.,Giá vốn cung cấp dịch vụ,374.295.660.534,344.070.705.131,,374295660534.0,344070705131.0
3.,3. > 3.,3.,Giá vốn kinh doanh bất động sản,2.617.951.391.759,967.614.926.847,,2617951391759.0,967614926847.0
3.,3. > 3.,3.,Giá vốn kinh doanh thương mại,118.384.468.309,79.275.154.541,,118384468309.0,79275154541.0
3.,3. > 3.,3.,Cộng,3.110.631.520.602,1.390.960.786.519,,3110631520602.0,1390960786519.0
