row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2019,Đơn vị tính: VND Năm 2018,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2019,numeric__Đơn vị tính: VND Năm 2018
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,834.358.559.599,372.077.527.976,1.0,,834358559599.0,372077527976.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và Bất động sản đầu tư,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và Bất động sản đầu tư,- Khấu hao TSCĐ và Bất động sản đầu tư,02,,122.229.149.337,79.671.585.536,2.0,,122229149337.0,79671585536.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,12.204.074.051,8.922.508.711,3.0,,12204074051.0,8922508711.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,1.540.440,(62.333.653),4.0,,1540440.0,-62333653.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(70.290.684.881),(71.021.928.706),5.0,,-70290684881.0,-71021928706.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,,147.075.524.450,117.857.666.994,6.0,,147075524450.0,117857666994.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,1.045.578.162.996,507.445.026.858,8.0,,1045578162996.0,507445026858.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,(105.467.908.242),(346.322.419.590),9.0,,-105467908242.0,-346322419590.0
