row_label_raw,row_label_full,31/12/2019,Dưới 1 năm VND,Từ 1-5 năm VND,Tổng cộng VND,numeric__Dưới 1 năm VND,numeric__Từ 1-5 năm VND,numeric__Tổng cộng VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,200.976.014.220,-,200.976.014.220,200976014220.0,,200976014220.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,660.042.719.395,7.459.136.001,667.501.855.396,660042719395.0,7459136001.0,667501855396.0
Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.203.297.936.833,1.600.000.000,1.204.897.936.833,1203297936833.0,1600000000.0,1204897936833.0
01/01/2019,01/01/2019,01/01/2019,Dưới 1 năm VND,Từ 1-5 năm VND,Tổng cộng VND,,,
Tiền và các khoản tương đương tiền,01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,358.811.289.562,-,358.811.289.562,358811289562.0,,358811289562.0
Phải thu khách hàng và phải thu khác,01/01/2019 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.228.113.834.136,5.322.405.789,1.233.436.239.925,1228113834136.0,5322405789.0,1233436239925.0
Các khoản đầu tư tài chính,01/01/2019 > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.250.300.000.000,1.600.000.000,1.251.900.000.000,1250300000000.0,1600000000.0,1251900000000.0
