row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,57.582.565.109,146.228.687.777,203.811.252.886,57582565109.0,146228687777.0,203811252886.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.146.206.000,1.146.206.000,,1146206000.0,1146206000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,9.493.334.500,9.493.334.500,,9493334500.0,9493334500.0
Thanh lý/Xóa số,Nguyên giá > Thanh lý/Xóa số,Thanh lý/Xóa số,-,(9.185.470.118),(9.185.470.118),,-9185470118.0,-9185470118.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.582.565.109,147.682.758.159,205.265.323.268,57582565109.0,147682758159.0,205265323268.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.608.069.186,105.054.465.143,116.662.534.329,11608069186.0,105054465143.0,116662534329.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,15.557.717.690,15.557.717.690,,15557717690.0,15557717690.0
Thanh lý/Xóa số,Giá trị hao mòn lũy kế > Thanh lý/Xóa số,Thanh lý/Xóa số,-,(9.117.467.783),(9.117.467.783),,-9117467783.0,-9117467783.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.608.069.186,111.494.715.050,123.102.784.236,11608069186.0,111494715050.0,123102784236.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,45.974.495.923,41.174.222.634,87.148.718.557,45974495923.0,41174222634.0,87148718557.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,45.974.495.923,36.188.043.109,82.162.539.032,45974495923.0,36188043109.0,82162539032.0
