row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.069.197.735.254,9.211.741.341.596,789.524.484.354,494.677.376.644,12.565.140.937.848,2069197735254.0,9211741341596.0,789524484354.0,494677376644.0,12565140937848.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,20.225.716.495,523.909.234.788,36.986.272.850,64.639.102.363,645.760.326.496,20225716495.0,523909234788.0,36986272850.0,64639102363.0,645760326496.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,56.936.200.043,2.494.659.625.088,62.521.099.761,31.856.871.404,2.645.973.796.296,56936200043.0,2494659625088.0,62521099761.0,31856871404.0,2645973796296.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,564.942.316,4.449.022.410,571.933.621,(5.585.898.347),-,564942316.0,4449022410.0,571933621.0,-5585898347.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(13.465.345.545),(378.692.316.157),(12.607.232.228),(9.801.380.561),(414.566.274.491),-13465345545.0,-378692316157.0,-12607232228.0,-9801380561.0,-414566274491.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.133.459.248.563,11.856.066.907.725,876.996.558.358,575.786.071.503,15.442.308.786.149,2133459248563.0,11856066907725.0,876996558358.0,575786071503.0,15442308786149.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,623.666.258.668,4.712.232.909.380,362.691.428.047,375.505.499.256,6.074.096.095.351,623666258668.0,4712232909380.0,362691428047.0,375505499256.0,6074096095351.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,93.615.217.162,877.518.632.888,74.245.646.768,48.125.703.055,1.093.505.199.873,93615217162.0,877518632888.0,74245646768.0,48125703055.0,1093505199873.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,3.387.506.883,(127.341.613),16.620.323,(3.276.785.593),-,3387506883.0,-127341613.0,16620323.0,-3276785593.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(5.014.719.078),(285.277.279.235),(10.955.214.046),(9.753.398.852),(311.000.611.211),-5014719078.0,-285277279235.0,-10955214046.0,-9753398852.0,-311000611211.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,715.654.263.635,5.304.346.921.420,425.998.481.092,410.601.017.866,6.856.600.684.013,715654263635.0,5304346921420.0,425998481092.0,410601017866.0,6856600684013.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.445.531.476.586,4.499.508.432.216,426.833.056.307,119.171.877.388,6.491.044.842.497,1445531476586.0,4499508432216.0,426833056307.0,119171877388.0,6491044842497.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.417.804.984.928,6.551.719.986.305,450.998.077.266,165.185.053.637,8.585.708.102.136,1417804984928.0,6551719986305.0,450998077266.0,165185053637.0,8585708102136.0
