row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018 > % vốnsở hữu vàquyềnbiểu quyết,Ngày 31 tháng 12 năm 2018 > Giá gốcVND,Ngày 31 tháng 12 năm 2018 > Giá trịhợp lýVND,Ngày 31 tháng 12 năm 2018 > Dự phònggiảm giáVND,Ngày 1 tháng 1 năm 2018 > % vốnsở hữu vàquyền biểu quyết,Ngày 1 tháng 1 năm 2018 > Giá gốcVND,Ngày 1 tháng 1 năm 2018 > Giá trịhợp lýVND,numeric__Ngày 31 tháng 12 năm 2018 > % vốnsở hữu vàquyềnbiểu quyết,numeric__Ngày 31 tháng 12 năm 2018 > Giá gốcVND,numeric__Ngày 31 tháng 12 năm 2018 > Giá trịhợp lýVND,numeric__Ngày 31 tháng 12 năm 2018 > Dự phònggiảm giáVND,numeric__Ngày 1 tháng 1 năm 2018 > % vốnsở hữu vàquyền biểu quyết,numeric__Ngày 1 tháng 1 năm 2018 > Giá gốcVND,numeric__Ngày 1 tháng 1 năm 2018 > Giá trịhợp lýVND
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,,,,,,,
▪ Miraka Limited,Đầu tư vào các công ty liên kết > ▪ Miraka Limited,▪ Miraka Limited,"22,81%",293.189.808.669,(*),-,"22,81%",293.189.808.669,(*),0.2281,293189808669.0,,,0.2281,293189808669.0,
▪ Công ty Cổ phần APIS (***),Đầu tư vào các công ty liên kết > ▪ Công ty Cổ phần APIS (***),▪ Công ty Cổ phần APIS (***),"20,00%",20.350.000.000,(*),-,"18,00%",8.100.000.000,(*),0.2,20350000000.0,,,0.18,8100000000.0,
▪ Công ty Cổ phần Chế biến DừaÁ Châu,Đầu tư vào các công ty liên kết > ▪ Công ty Cổ phần Chế biến DừaÁ Châu,▪ Công ty Cổ phần Chế biến DừaÁ Châu,"25,00%",86.830.000.000,(*),-,"25,00%",86.830.000.000,(*),0.25,86830000000.0,,,0.25,86830000000.0,
,,,,400.369.808.669,,-,,388.119.808.669,,,400369808669.0,,,,388119808669.0,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,,
▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn,Đầu tư góp vốn vào đơn vị khác > ▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn,"14,71%",18.000.000.000,(*),-,"14,71%",18.000.000.000,(*),0.1471,18000000000.0,,,0.1471,18000000000.0,
▪ Quỹ đầu tư tăng trưởng Việt Nam(VF2) (****),Đầu tư góp vốn vào đơn vị khác > ▪ Quỹ đầu tư tăng trưởng Việt Nam(VF2) (****),▪ Quỹ đầu tư tăng trưởng Việt Nam(VF2) (****),,-,,-,,10.270.276.240,(*),,,,,,10270276240.0,
▪ Nhà thuốc – Phòng khám đa khoaAn Khang,Đầu tư góp vốn vào đơn vị khác > ▪ Nhà thuốc – Phòng khám đa khoaAn Khang,▪ Nhà thuốc – Phòng khám đa khoaAn Khang,,300.000.000,(*),-,,300.000.000,(*),,300000000.0,,,,300000000.0,
,,,,18.300.000.000,,-,,28.570.276.240,,,18300000000.0,,,,28570276240.0,
,,,,5.828.262.780.870,,(19.842.623.474),,5.374.182.156.065,,,5828262780870.0,,-19842623474.0,,5374182156065.0,
