row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị ghi số VND,31/12/2018 > Số có khả năng trả nợ VND,1/1/2018 > Giá trị ghi số VND,1/1/2018 > Số có khả năng trả nợ VND,numeric__31/12/2018 > Giá trị ghi số VND,numeric__31/12/2018 > Số có khả năng trả nợ VND,numeric__1/1/2018 > Giá trị ghi số VND,numeric__1/1/2018 > Số có khả năng trả nợ VND
Công ty Cổ phần Đại Tân Việt,Công ty Cổ phần Đại Tân Việt,Công ty Cổ phần Đại Tân Việt,691.822.724.098,691.822.724.098,811.664.433.728,811.664.433.728,691822724098.0,691822724098.0,811664433728.0,811664433728.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,2.864.281.036.956,2.864.281.036.956,2.797.288.476.836,2.797.288.476.836,2864281036956.0,2864281036956.0,2797288476836.0,2797288476836.0
,,,3.556.103.761.054,3.556.103.761.054,3.608.952.910.564,3.608.952.910.564,3556103761054.0,3556103761054.0,3608952910564.0,3608952910564.0
