row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,14.514.534.290.000,260.699.620.761,(1.176.335.920),1.794.957.937.585,5.224.918.570.596,21.793.934.083.022,14514534290000.0,260699620761.0,-1176335920.0,1794957937585.0,5224918570596.0,21793934083022.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(5.983.485.880),-,-,(5.983.485.880),,,-5983485880.0,,,-5983485880.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,10.545.161.872.454,10.545.161.872.454,,,,,10545161872454.0,10545161872454.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,1.054.516.187.248,(1.054.516.187.248),-,,,,1054516187248.0,-1054516187248.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.16),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.16),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.16),-,-,-,-,(1.054.516.187.248),(1.054.516.187.248),,,,,-1054516187248.0,-1054516187248.0
Cổ tức (Thuyết minh V.21),Cổ tức (Thuyết minh V.21),Cổ tức (Thuyết minh V.21),-,-,-,-,(7.982.239.681.400),(7.982.239.681.400),,,,,-7982239681400.0,-7982239681400.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,14.514.534.290.000,260.699.620.761,(7.159.821.800),2.849.474.124.833,5.678.808.387.154,23.296.356.600.948,14514534290000.0,260699620761.0,-7159821800.0,2849474124833.0,5678808387154.0,23296356600948.0
Tăng vốn từ phát hành cổ phiếu thường,Tăng vốn từ phát hành cổ phiếu thường,Tăng vốn từ phát hành cổ phiếu thường,2.902.343.640.000,(260.699.620.761),-,(2.641.644.019.239),-,-,2902343640000.0,-260699620761.0,,-2641644019239.0,,
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(3.325.885.560),-,-,(3.325.885.560),,,-3325885560.0,,,-3325885560.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,9.814.109.826.048,9.814.109.826.048,,,,,9814109826048.0,9814109826048.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,981.410.982.604,(981.410.982.604),-,,,,981410982604.0,-981410982604.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.16),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.16),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.16),-,-,-,-,(981.410.982.604),(981.410.982.604),,,,,-981410982604.0,-981410982604.0
Cổ tức (Thuyết minh V.21),Cổ tức (Thuyết minh V.21),Cổ tức (Thuyết minh V.21),-,-,-,-,(6.820.662.482.500),(6.820.662.482.500),,,,,-6820662482500.0,-6820662482500.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,17.416.877.930.000,-,(10.485.707.360),1.189.241.088.198,6.709.433.765.494,25.305.067.076.332,17416877930000.0,,-10485707360.0,1189241088198.0,6709433765494.0,25305067076332.0
