row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2024VND,1/1/2024VND,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,756.089.915,-,756089915.0,
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,
Công ty Cổ phần Công nghệ Thông tin Truyền thôngThiền Hy Long Việt Nam,Bên khác > Công ty Cổ phần Công nghệ Thông tin Truyền thôngThiền Hy Long Việt Nam,Công ty Cổ phần Công nghệ Thông tin Truyền thôngThiền Hy Long Việt Nam,1.985.558.283,228.749.711,1985558283.0,228749711.0
Công ty TNHH Quảng cáo và Truyền thông Trí Việt,Bên khác > Công ty TNHH Quảng cáo và Truyền thông Trí Việt,Công ty TNHH Quảng cáo và Truyền thông Trí Việt,1.670.959.210,1.786.533.520,1670959210.0,1786533520.0
Công ty Cổ phần Thương mại In Nhật Nam,Bên khác > Công ty Cổ phần Thương mại In Nhật Nam,Công ty Cổ phần Thương mại In Nhật Nam,-,4.247.069.658,,4247069658.0
Công ty TNHH Thương mại Dịch vụ Quảng cáoSong Thành công,Bên khác > Công ty TNHH Thương mại Dịch vụ Quảng cáoSong Thành công,Công ty TNHH Thương mại Dịch vụ Quảng cáoSong Thành công,1.608.500.000,2.020.340.000,1608500000.0,2020340000.0
Các nhà cung cấp khác,Bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,14.281.718.413,24.905.983.072,14281718413.0,24905983072.0
,,,20.302.825.821,33.188.675.961,20302825821.0,33188675961.0
