row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.884.450.941,5.962.725.845,80.067.351.463,97.249.755.515,190.164.283.764,6884450941.0,5962725845.0,80067351463.0,97249755515.0,190164283764.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,744.186.573,10.485.704.000,2.241.800.000,13.471.690.573,,744186573.0,10485704000.0,2241800000.0,13471690573.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(1.197.155.298),-,(11.371.677.034),(5.029.149.289),(17.597.981.621),-1197155298.0,,-11371677034.0,-5029149289.0,-17597981621.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.687.295.643,6.706.912.418,79.181.378.429,94.462.406.226,186.037.992.716,5687295643.0,6706912418.0,79181378429.0,94462406226.0,186037992716.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.031.040.831,5.065.615.958,46.277.322.365,55.256.712.339,110.630.691.493,4031040831.0,5065615958.0,46277322365.0,55256712339.0,110630691493.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,618.611.918,279.839.302,10.875.853.851,20.584.375.128,32.358.680.199,618611918.0,279839302.0,10875853851.0,20584375128.0,32358680199.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(723.442.224),-,(10.757.007.055),(5.025.426.643),(16.505.875.922),-723442224.0,,-10757007055.0,-5025426643.0,-16505875922.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.926.210.525,5.345.455.260,46.396.169.161,70.815.660.824,126.483.495.770,3926210525.0,5345455260.0,46396169161.0,70815660824.0,126483495770.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.853.410.110,897.109.887,33.790.029.098,41.993.043.176,79.533.592.271,2853410110.0,897109887.0,33790029098.0,41993043176.0,79533592271.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.761.085.118,1.361.457.158,32.785.209.268,23.646.745.402,59.554.496.946,1761085118.0,1361457158.0,32785209268.0,23646745402.0,59554496946.0
