row_label_raw,row_label_full,col_0,Đã được trình bày trước đây,Trình bày lại,Được trình bày lại,numeric__Đã được trình bày trước đây,numeric__Trình bày lại,numeric__Được trình bày lại
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,
Người mua trả tiền trước ngắn hạn (*),Bảng cân đối kế toán hợp nhất > Người mua trả tiền trước ngắn hạn (*),Người mua trả tiền trước ngắn hạn (*),18.943.829.017,75.549.608.692,94.493.437.709,18943829017.0,75549608692.0,94493437709.0
Chi phí phải trả ngắn hạn (*),Bảng cân đối kế toán hợp nhất > Chi phí phải trả ngắn hạn (*),Chi phí phải trả ngắn hạn (*),104.281.720.548,(75.549.608.692),28.732.111. 856,104281720548.0,-75549608692.0,
