row_label_raw,row_label_full,Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > 627.419.230.000 > -,Thặng dư vốn cổ phần > 418.432.992.221 > -,Quỹ đầu tư phát triển > 578.636.506.646 > -,Lợi nhuận sau thuế chưa phân phối > 205.773.104.121 > 252.835.571.205,Đơn vị tính: VND Tổng cộng > 1.830.261.832.988 > 252.835.571.205,numeric__Vốn cổ phần đã phát hành > 627.419.230.000 > -,numeric__Thặng dư vốn cổ phần > 418.432.992.221 > -,numeric__Quỹ đầu tư phát triển > 578.636.506.646 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 205.773.104.121 > 252.835.571.205,numeric__Đơn vị tính: VND Tổng cộng > 1.830.261.832.988 > 252.835.571.205
- Phân bổ vào các quỹ,- Phân bổ vào các quỹ,- Phân bổ vào các quỹ,-,-,100.494.197.659,(100.494.197.659),-,,,100494197659.0,-100494197659.0,
"- Phân bổ quỹ khen thưởng, phúc lợi","- Phân bổ quỹ khen thưởng, phúc lợi","- Phân bổ quỹ khen thưởng, phúc lợi",-,-,-,(11.166.021.962),(11.166.021.962),,,,-11166021962.0,-11166021962.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,(125.483.846.000),(125.483.846.000),,,,-125483846000.0,-125483846000.0
Số cuối năm,Số cuối năm,Số cuối năm,627.419.230.000,418.432.992.221,679.130.704.305,221.464.609.705,1.946.447.536.231,627419230000.0,418432992221.0,679130704305.0,221464609705.0,1946447536231.0
Số đầu năm,Số đầu năm,Số đầu năm,627.419.230.000,418.432.992.221,679.130.704.305,221.464.609.705,1.946.447.536.231,627419230000.0,418432992221.0,679130704305.0,221464609705.0,1946447536231.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,451.218.626.346,451.218.626.346,,,,451218626346.0,451218626346.0
- Phân bổ vào các quỹ (*),- Phân bổ vào các quỹ (*),- Phân bổ vào các quỹ (*),-,-,73.984.258.705,(73.984.258.705),-,,,73984258705.0,-73984258705.0,
"- Phân bổ quỹ khen thưởng, phúc lợi (*)","- Phân bổ quỹ khen thưởng, phúc lợi (*)","- Phân bổ quỹ khen thưởng, phúc lợi (*)",-,-,-,(21.999.991.000),(21.999.991.000),,,,-21999991000.0,-21999991000.0
- Chia cổ tức bằng cổ phiếu (*),- Chia cổ tức bằng cổ phiếu (*),- Chia cổ tức bằng cổ phiếu (*),125.480.360.000,-,-,(125.480.360.000),-,125480360000.0,,,-125480360000.0,
- Chia cổ tức bằng tiền (*),- Chia cổ tức bằng tiền (*),- Chia cổ tức bằng tiền (*),-,-,-,(36.524.267.075),(36.524.267.075),,,,-36524267075.0,-36524267075.0
Số cuối năm,Số cuối năm,Số cuối năm,752.899.590.000,418.432.992.221,753.114.963.010,414.694.359.271,2.339.141.904.502,752899590000.0,418432992221.0,753114963010.0,414694359271.0,2339141904502.0
