row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Ngày 31 tháng 12năm 2016 > 528.550.497.718,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2016 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,"Đơn vị tính: VNDLãi suấtnăm > 9,5% - 12%",numeric__Ngày 31 tháng 12năm 2016 > 528.550.497.718,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2016 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,"numeric__Đơn vị tính: VNDLãi suấtnăm > 9,5% - 12%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,528.550.497.718,,,528550497718.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,99.599.114.368428.951.383.350,,,9.959911436842895e+22,,
