row_label_raw,row_label_full,Năm trước,Sản xuất và bán thức ăn chăn nuôi > Năm trước,Kinh doanh bất động sản và dịch vụ xây lắp > Năm trước,"Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác > Năm trước",Loại trừ > Năm trước,Đơn vị tính: VND > Năm trước,numeric__Sản xuất và bán thức ăn chăn nuôi > Năm trước,numeric__Kinh doanh bất động sản và dịch vụ xây lắp > Năm trước,"numeric__Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác > Năm trước",numeric__Loại trừ > Năm trước,numeric__Đơn vị tính: VND > Năm trước
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,3.309.494.836.116,13.340.068.006,2.468.557.625.166,-,5.791.392.529.288,3309494836116.0,13340068006.0,2468557625166.0,,5791392529288.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,1.008.767.610.850,29.310.622.391,1.319.312.261.608,(2.357.390.494.849),-,1008767610850.0,29310622391.0,1319312261608.0,-2357390494849.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,4.318.262.446.966,42.650.690.397,3.787.869.886.774,(2.357.390.494.849),5.791.392.529.288,4318262446966.0,42650690397.0,3787869886774.0,-2357390494849.0,5791392529288.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,237.295.530.141,(1.218.437.869),97.608.339.959,(50.068.221.851),283.617.210.380,237295530141.0,-1218437869.0,97608339959.0,-50068221851.0,283617210380.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(29.042.653.756),(6.479.855),(1.732.505.564),-,(30.781.639.175),-29042653756.0,-6479855.0,-1732505564.0,,-30781639175.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,208.252.876.385,(1.224.917.724),95.875.834.395,(50.068.221.851),252.835.571.205,208252876385.0,-1224917724.0,95875834395.0,-50068221851.0,252835571205.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,2.614.348.749.107,1.141.774.164.368,1.097.495.616.382,(238.407.802.775),4.615.210.727.082,2614348749107.0,1141774164368.0,1097495616382.0,-238407802775.0,4615210727082.0
Tải sản bộ phận,Tài sản và nợ phải trả > Tải sản bộ phận,Tải sản bộ phận,2.614.348.749.107,1.141.774.164.368,1.097.495.616.382,(644.959.784.541),4.208.658.745.316,2614348749107.0,1141774164368.0,1097495616382.0,-644959784541.0,4208658745316.0
Tải sản không phân bổ (*),Tài sản và nợ phải trả > Tải sản không phân bổ (*),Tải sản không phân bổ (*),-,-,-,-,406.551.981.766,,,,,406551981766.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,2.336.254.876.706,162.207.294.332,815.260.804.354,(644.959.784.541),2.668.763.190.851,2336254876706.0,162207294332.0,815260804354.0,-644959784541.0,2668763190851.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.336.254.876.706,162.207.294.332,815.260.804.354,(644.959.784.541),2.668.763.190.851,2336254876706.0,162207294332.0,815260804354.0,-644959784541.0,2668763190851.0
