row_label_raw,row_label_full,col_0,Sản xuất và bán thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp,"Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác",Loại trừ,Tổng cộng,numeric__Sản xuất và bán thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp,"numeric__Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác",numeric__Loại trừ,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,3.594.603.763.750,30.697.215.728,2.630.621.615.316,-,6.255.922.594.794,3594603763750.0,30697215728.0,2630621615316.0,,6255922594794.0
Doanh thu thuần từ bán hàng và chung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và chung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và chung cấp dịch vụ cho các bộ phận,1.013.516.704.050,45.832.108.593,1.185.487.011.541,(2.244.835.824.184),-,1013516704050.0,45832108593.0,1185487011541.0,-2244835824184.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,4.608.120.467.800,76.529.324.321,3.816.108.626.857,(2.244.835.824.184),6.255.922.594.794,4608120467800.0,76529324321.0,3816108626857.0,-2244835824184.0,6255922594794.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,369.441.557.990,151.915.538.351,126.719.077.035,(125.325.082.385),522.751.090.991,369441557990.0,151915538351.0,126719077035.0,-125325082385.0,522751090991.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(38.085.892.547),(29.763.928.427),(3.682.643.671),-,(71.532.464.645),-38085892547.0,-29763928427.0,-3682643671.0,,-71532464645.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,331.355.665.443,122.151.609.924,123.036.433.364,(125.325.082.385),451.218.626.346,331355665443.0,122151609924.0,123036433364.0,-125325082385.0,451218626346.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,3.278.234.069.187,790.842.219.297,1.862.823.573.239,(402.628.038.264),5.529.271.823.459,3278234069187.0,790842219297.0,1862823573239.0,-402628038264.0,5529271823459.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,3.278.234.069.187,790.842.219.297,1.862.823.573.239,(1.076.047.814.492),4.855.852.047.231,3278234069187.0,790842219297.0,1862823573239.0,-1076047814492.0,4855852047231.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,-,673.419.776.228,,,,,673419776228.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,2.523.955.968.306,166.816.616.205,1.575.405.148.938,(1.076.047.814.492),3.190.129.918.957,2523955968306.0,166816616205.0,1575405148938.0,-1076047814492.0,3190129918957.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.523.955.968.306,166.816.616.205,1.575.405.148.938,(1.076.047.814.492),3.190.129.918.957,2523955968306.0,166816616205.0,1575405148938.0,-1076047814492.0,3190129918957.0
