row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm(Trình bày lại)
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,66.773.275.335,18.943.829.017,66773275335.0,18943829017.0
Chiết khấu thương mại trích trước (*),Chiết khấu thương mại trích trước (*),Chiết khấu thương mại trích trước (*),80.000.000.000,75.549.608.692,80000000000.0,75549608692.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,146.773.275.335,94.493.437.709,146773275335.0,94493437709.0
