row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,Đơn vị tính: VND > Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,20.000.000.000,-,20000000000.0,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,600.000.000,600.000.000,600000000.0,600000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.600.000.000,600.000.000,20600000000.0,600000000.0
