row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,303.542.595.113,17.447.040.000,320.989.635.113,303542595113.0,17447040000.0,320989635113.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,49.838.750.961,-,49.838.750.961,49838750961.0,,49838750961.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,353.381.346.074,17.447.040.000,370.828.386.074,353381346074.0,17447040000.0,370828386074.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,50.059.600.095,2.871.609.991,52.931.210.086,50059600095.0,2871609991.0,52931210086.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,46.513.733.006,6.558.495.626,53.072.228.632,46513733006.0,6558495626.0,53072228632.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,96.573.333.101,9.430.105.617,106.003.438.718,96573333101.0,9430105617.0,106003438718.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,253.482.995.018,14.575.430.009,268.058.425.027,253482995018.0,14575430009.0,268058425027.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,256.808.012.973,8.016.934.383,264.824.947.356,256808012973.0,8016934383.0,264824947356.0
