row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Nhận đặt cọc thực hiện nghĩa vụ hợp đồng,Ngắn hạn > Nhận đặt cọc thực hiện nghĩa vụ hợp đồng,Nhận đặt cọc thực hiện nghĩa vụ hợp đồng,103.590.060.000,100.362.160.000,103590060000.0,100362160000.0
Khoản hỗ trợ không hoàn lại của UBND tỉnh,Khoản hỗ trợ không hoàn lại của UBND tỉnh,Khoản hỗ trợ không hoàn lại của UBND tỉnh,,,,
Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),Khoản hỗ trợ không hoàn lại của UBND tỉnh > Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),88.499.994.000,24.636.994.000,88499994000.0,24636994000.0
Khoản hỗ trợ tạm thời để bình ổn giá phải trả cho UBND tỉnh Bắc Ninh,Khoản hỗ trợ không hoàn lại của UBND tỉnh > Khoản hỗ trợ tạm thời để bình ổn giá phải trả cho UBND tỉnh Bắc Ninh,Khoản hỗ trợ tạm thời để bình ổn giá phải trả cho UBND tỉnh Bắc Ninh,25.000.000.000,25.000.000.000,25000000000.0,25000000000.0
"Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế","Khoản hỗ trợ không hoàn lại của UBND tỉnh > Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế","Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế",10.317.510.208,3.789.215.836,10317510208.0,3789215836.0
Khoản hỗ trợ kinh phí xây dựng công trình bến xe Cảng Tân Chi (*),Khoản hỗ trợ không hoàn lại của UBND tỉnh > Khoản hỗ trợ kinh phí xây dựng công trình bến xe Cảng Tân Chi (*),Khoản hỗ trợ kinh phí xây dựng công trình bến xe Cảng Tân Chi (*),5.000.000.000,-,5000000000.0,
"Các khoản phải trả, phải nộp ngắn hạn khác","Khoản hỗ trợ không hoàn lại của UBND tỉnh > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",11.265.629.864,4.789.989.597,11265629864.0,4789989597.0
TỔNG CỘNG,Khoản hỗ trợ không hoàn lại của UBND tỉnh > TỔNG CỘNG,TỔNG CỘNG,243.673.194.072,158.578.359.433,243673194072.0,158578359433.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
"Nhận ký quỹ, ký cước dài hạn","Dải hạn > Nhận ký quỹ, ký cước dài hạn","Nhận ký quỹ, ký cước dài hạn",5.245.555.800,8.842.868.300,5245555800.0,8842868300.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,5.245.555.800,8.842.868.300,5245555800.0,8842868300.0
