row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Trang thiết bị văn phòng,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Trang thiết bị văn phòng,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,924.736.560.282,493.616.393.568,105.456.222.552,9.285.138.518,1.533.094.314.920,924736560282.0,493616393568.0,105456222552.0,9285138518.0,1533094314920.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,24.446.345.860,38.509.901.567,932.320.682,63.888.568.109,,24446345860.0,38509901567.0,932320682.0,63888568109.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,258.280.424.515,53.568.552.909,,,311.848.977.424,258280424515.0,53568552909.0,,,311848977424.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,-,11.625.006.669,,,11.625.006.669,,11625006669.0,,,11625006669.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.991.918.732),(385.835.167),(73.290.527),(4.451.044.426),,-3991918732.0,-385835167.0,-73290527.0,-4451044426.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.183.016.984.797,579.264.380.274,143.580.288.952,10.144.168.673,1.916.005.822.696,1183016984797.0,579264380274.0,143580288952.0,10144168673.0,1916005822696.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,102.769.283.013,174.832.587.728,24.604.010.034,9.985.416.546,312.191.297.321,102769283013.0,174832587728.0,24604010034.0,9985416546.0,312191297321.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,286.851.039.899,274.328.694.895,65.286.855.662,8.372.348.970,634.838.939.426,286851039899.0,274328694895.0,65286855662.0,8372348970.0,634838939426.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,79.172.584.256,51.971.629.330,16.330.682.952,651.799.623,148.126.696.161,79172584256.0,51971629330.0,16330682952.0,651799623.0,148126696161.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,-,1.458.025.247,-,-,1.458.025.247,,1458025247.0,,,1458025247.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.847.380.725),(385.835.167),(73.290.527),(4.306.506.419),,-3847380725.0,-385835167.0,-73290527.0,-4306506419.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,366.023.624.131,323.910.968.739,81.231.703.444,8.950.858.101,780.117.154.415,366023624131.0,323910968739.0,81231703444.0,8950858101.0,780117154415.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,637.885.520.407,219.287.698.681,40.169.366.893,912.789.513,898.255.375.494,637885520407.0,219287698681.0,40169366893.0,912789513.0,898255375494.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,817.634.269.993,254.712.502.208,62.348.585.508,1.193.310.572,1.135.888.668.281,817634269993.0,254712502208.0,62348585508.0,1193310572.0,1135888668281.0
Trong đó: Tài sản sử dụng để cảm cố/thế chấp (*),Giá trị còn lại: > Trong đó: Tài sản sử dụng để cảm cố/thế chấp (*),Trong đó: Tài sản sử dụng để cảm cố/thế chấp (*),378.632.806.100,153.362.327.209,6.183.014.694,54.352.685,538.232.500.688,378632806100.0,153362327209.0,6183014694.0,54352685.0,538232500688.0
