row_label_raw,row_label_full,Dự án nhà máy sản xuất thức ăn chăn nuôi Nasaco Hà Nam (*) > Dự án giống lợn Dabaco Hà Nam,Số cuối năm > 315.807.268.310 > 144.372.584.066,Đơn vị tính: VND > Số đầu năm > 44.995.750.198 > 6.101.394.727,numeric__Số cuối năm > 315.807.268.310 > 144.372.584.066,numeric__Đơn vị tính: VND > Số đầu năm > 44.995.750.198 > 6.101.394.727
Dự án hệ thống chuống trại gà Dabaco Phú Thọ,Dự án hệ thống chuống trại gà Dabaco Phú Thọ,Dự án hệ thống chuống trại gà Dabaco Phú Thọ,120.612.576.260,15.474.341.705,120612576260.0,15474341705.0
Dự án lợn giống Dabaco Hải Phòng,Dự án lợn giống Dabaco Hải Phòng,Dự án lợn giống Dabaco Hải Phòng,43.493.352.212,25.454.545.000,43493352212.0,25454545000.0
Dự án nhà làm việc của Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Dự án nhà làm việc của Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Dự án nhà làm việc của Công ty TNHH Dịch vụ Thương mại Bắc Ninh,35.538.155.239,33.213.885.864,35538155239.0,33213885864.0
Dự án lợn giống Lương Tài (*),Dự án lợn giống Lương Tài (*),Dự án lợn giống Lương Tài (*),32.389.408.036,-,32389408036.0,
Dự án kho nguyên liệu Hạp Lĩnh,Dự án kho nguyên liệu Hạp Lĩnh,Dự án kho nguyên liệu Hạp Lĩnh,30.311.790.100,-,30311790100.0,
Dự án nhà máy sản xuất con giống công nghệ cao,Dự án nhà máy sản xuất con giống công nghệ cao,Dự án nhà máy sản xuất con giống công nghệ cao,24.926.824.450,7.804.228.001,24926824450.0,7804228001.0
Dự án khu xử lý môi trường tập trung Khắc Niệm,Dự án khu xử lý môi trường tập trung Khắc Niệm,Dự án khu xử lý môi trường tập trung Khắc Niệm,23.238.123.172,20.621.601.681,23238123172.0,20621601681.0
Dự án khu chăn nuôi Hà Tĩnh,Dự án khu chăn nuôi Hà Tĩnh,Dự án khu chăn nuôi Hà Tĩnh,17.466.702.727,-,17466702727.0,
Dự án đường Bách Môn - Lạc Vệ,Dự án đường Bách Môn - Lạc Vệ,Dự án đường Bách Môn - Lạc Vệ,16.046.360.705,16.046.360.705,16046360705.0,16046360705.0
Dự án rau công nghệ cao,Dự án rau công nghệ cao,Dự án rau công nghệ cao,14.893.683.716,-,14893683716.0,
Dự án siêu thị Thuận Thành,Dự án siêu thị Thuận Thành,Dự án siêu thị Thuận Thành,8.838.078.202,8.838.078.202,8838078202.0,8838078202.0
Dự án Trung tâm thương mại Quế Võ,Dự án Trung tâm thương mại Quế Võ,Dự án Trung tâm thương mại Quế Võ,7.574.022.909,-,7574022909.0,
Dự án hệ thống chuống trại gà Yên Thế,Dự án hệ thống chuống trại gà Yên Thế,Dự án hệ thống chuống trại gà Yên Thế,6.898.511.790,6.898.511.790,6898511790.0,6898511790.0
Dự án mở rộng văn phòng Công ty,Dự án mở rộng văn phòng Công ty,Dự án mở rộng văn phòng Công ty,6.811.456.800,6.811.456.800,6811456800.0,6811456800.0
Dự án gia súc gia cầm Tuyên Quang,Dự án gia súc gia cầm Tuyên Quang,Dự án gia súc gia cầm Tuyên Quang,5.198.911.225,-,5198911225.0,
"Dự án nhà làm việc, khách sạn cao tầng (**)","Dự án nhà làm việc, khách sạn cao tầng (**)","Dự án nhà làm việc, khách sạn cao tầng (**)",-,54.911.243.454,,54911243454.0
Dự án trung tâm thương mại Đền Đô (**),Dự án trung tâm thương mại Đền Đô (**),Dự án trung tâm thương mại Đền Đô (**),-,41.367.865.599,,41367865599.0
Dự án cảng Dabaco (**),Dự án cảng Dabaco (**),Dự án cảng Dabaco (**),-,17.930.722.727,,17930722727.0
Các dự án khác,Các dự án khác,Các dự án khác,3.315.906.769,263.631.798,3315906769.0,263631798.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,857.733.716.688,306.733.618.251,857733716688.0,306733618251.0
