row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016_1,Ngày 31 tháng 12 năm 2016_2,numeric__Ngày 31 tháng 12 năm 2016,numeric__Ngày 31 tháng 12 năm 2016_1,numeric__Ngày 31 tháng 12 năm 2016_2
,,,Tổng khoản thanh toán tiền thuê tài chính,Lãi thuê tài chính,Nợ gốc,,,
Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,76.368.984.075,18.546.721.302,57.822.262.773,76368984075.0,18546721302.0,57822262773.0
Nợ thuê tài chính dài hạn\nTừ 1-5 năm,Nợ thuê tài chính dài hạn\nTừ 1-5 năm,Nợ thuê tài chính dài hạn\nTừ 1-5 năm,146.719.107.757,20.512.739.801,126.206.367.956,146719107757.0,20512739801.0,126206367956.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,223.088.091.832,39.059.461.103,184.028.630.729,223088091832.0,39059461103.0,184028630729.0
,,,,,Đơn vị tính: VND,,,
,,,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,,,
,,,Tổng khoản thanh toán tiền thuê tài chính,Lãi thuê tài chính,Nợ gốc,,,
Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,66.714.958.763,16.906.453.497,49.808.505.266,66714958763.0,16906453497.0,49808505266.0
Nợ thuê tài chính dài hạn\nTừ 1-5 năm,Nợ thuê tài chính dài hạn\nTừ 1-5 năm,Nợ thuê tài chính dài hạn\nTừ 1-5 năm,163.330.097.997,22.556.528.221,140.773.569.776,163330097997.0,22556528221.0,140773569776.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,284.361.977,3.088.152,281.273.825,284361977.0,3088152.0,281273825.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,230.329.418.737,39.466.069.870,190.863.348.867,230329418737.0,39466069870.0,190863348867.0
