row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),1.407.715.157.417,1.407.715.157.417,4.573.709.499.271,4.380.651.496.888,1.600.773.159.800,1.600.773.159.800,1407715157417.0,1407715157417.0,4573709499271.0,4380651496888.0,1600773159800.0,1600773159800.0
Vay dài hạn đến hạn trả(Thuyết minh số 22.2),Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 22.2),Vay dài hạn đến hạn trả(Thuyết minh số 22.2),33.006.582.664,33.006.582.664,121.188.266.368,54.595.734.664,99.599.114.368,99.599.114.368,33006582664.0,33006582664.0,121188266368.0,54595734664.0,99599114368.0,99599114368.0
Nợ thuê tài chính dài hạnđến hạn trả(Thuyết minh số 22.3),Vay ngắn hạn > Nợ thuê tài chính dài hạnđến hạn trả(Thuyết minh số 22.3),Nợ thuê tài chính dài hạnđến hạn trả(Thuyết minh số 22.3),49.808.505.266,49.808.505.266,61.832.248.843,53.818.491.336,57.822.262.773,57.822.262.773,49808505266.0,49808505266.0,61832248843.0,53818491336.0,57822262773.0,57822262773.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,18.975.000.000,18.975.000.000,210.000.000,18.475.000.000,710.000.000,710.000.000,18975000000.0,18975000000.0,210000000.0,18475000000.0,710000000.0,710000000.0
,,,1.509.505.245.347,1.509.505.245.347,4.756.940.014.482,4.507.540.722.888,1.758.904.536.941,1.758.904.536.941,1509505245347.0,1509505245347.0,4756940014482.0,4507540722888.0,1758904536941.0,1758904536941.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngắn hàng(Thuyết minh số 22.2),Vay dài hạn > Vay ngắn hàng(Thuyết minh số 22.2),Vay ngắn hàng(Thuyết minh số 22.2),107.901.008.943,107.901.008.943,446.106.451.430,125.056.077.023,428.951.383.350,428.951.383.350,107901008943.0,107901008943.0,446106451430.0,125056077023.0,428951383350.0,428951383350.0
Nợ thuê tài chính(Thuyết minh số 22.3),Vay dài hạn > Nợ thuê tài chính(Thuyết minh số 22.3),Nợ thuê tài chính(Thuyết minh số 22.3),141.054.843.589,141.054.843.589,49.817.788.918,64.666.264.551,126.206.367.956,126.206.367.956,141054843589.0,141054843589.0,49817788918.0,64666264551.0,126206367956.0,126206367956.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,248.955.852.532,248.955.852.532,495.924.240.348,189.722.341.574,555.157.751.306,555.157.751.306,248955852532.0,248955852532.0,495924240348.0,189722341574.0,555157751306.0,555157751306.0
