row_label_raw,row_label_full,Công ty cho thuê > Các khoản nợ thuệtài chính,Ngày 31 tháng 12năm 2016 > 184.028.630.729,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 9 năm 2017 đến tháng 4 năm 2021. Lãi vay trả hàng tháng.,"Lãi suất năm > 8%-10,5%",numeric__Ngày 31 tháng 12năm 2016 > 184.028.630.729,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 9 năm 2017 đến tháng 4 năm 2021. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 8%-10,5%"
Tổng cộng,Tổng cộng,Tổng cộng,184.028.630.729,,,184028630729.0,,
Trong đó:Nợ dài hạnđến hạn trảNợ dài hạn,Trong đó:Nợ dài hạnđến hạn trảNợ dài hạn,Trong đó:Nợ dài hạnđến hạn trảNợ dài hạn,57.822.262.773126.206.367.956,,,5.782226277312621e+22,,
