row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,962.883,72.019,54.682,38.912,12.304,1.140.800,962883.0,72019.0,54682.0,38912.0,12304.0,1140800.0
- Mua trong kỳ,Nguyên giá TSCĐ hữu hình > - Mua trong kỳ,- Mua trong kỳ,-,179,972,3.588,660,5.399,,179.0,972.0,3588.0,660.0,5399.0
- Tăng khác,Nguyên giá TSCĐ hữu hình > - Tăng khác,- Tăng khác,72.868,-,-,,,72.868,72868.0,,,,,72868.0
- Tăng do điều chuyển,Nguyên giá TSCĐ hữu hình > - Tăng do điều chuyển,- Tăng do điều chuyển,-,481,909,-,-,1.390,,481.0,909.0,,,1390.0
- Tăng do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Tăng do điều chỉnh,- Tăng do điều chỉnh,14,29,-,11,51,105,14.0,29.0,,11.0,51.0,105.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(645),-,(125),(362),(1.132),,-645.0,,-125.0,-362.0,-1132.0
- Giảm do điều chuyển,Nguyên giá TSCĐ hữu hình > - Giảm do điều chuyển,- Giảm do điều chuyển,-,(481),(909),-,-,(1.390),,-481.0,-909.0,,,-1390.0
- Giảm do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Giảm do điều chỉnh,- Giảm do điều chỉnh,(14),(65),-,(11),(15),(105),-14.0,-65.0,,-11.0,-15.0,-105.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,1.035.751,71.517,55.654,42.375,12.638,1.217.935,1035751.0,71517.0,55654.0,42375.0,12638.0,1217935.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,255.704,64.711,46.758,27.699,10.491,405.363,255704.0,64711.0,46758.0,27699.0,10491.0,405363.0
- Hao mòn trong kỳ,Giá trị hao mòn lũy kế > - Hao mòn trong kỳ,- Hao mòn trong kỳ,38.591,2.349,2.636,3.245,691,47.512,38591.0,2349.0,2636.0,3245.0,691.0,47512.0
- Hao mòn trong kỳ (của công ty con),Giá trị hao mòn lũy kế > - Hao mòn trong kỳ (của công ty con),- Hao mòn trong kỳ (của công ty con),-,75,103,9,8,195,,75.0,103.0,9.0,8.0,195.0
- Tăng do điều chuyển,Giá trị hao mòn lũy kế > - Tăng do điều chuyển,- Tăng do điều chuyển,-,214,-,-,-,214,,214.0,,,,214.0
- Tăng do điều chỉnh,Giá trị hao mòn lũy kế > - Tăng do điều chỉnh,- Tăng do điều chỉnh,-,-,4,-,1,5,,,4.0,,1.0,5.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(645),-,(125),(362),(1.132),,-645.0,,-125.0,-362.0,-1132.0
- Giảm do điều chuyển,Giá trị hao mòn lũy kế > - Giảm do điều chuyển,- Giảm do điều chuyển,-,(214),-,-,-,(214),,-214.0,,,,-214.0
- Giảm do điều chỉnh,Giá trị hao mòn lũy kế > - Giảm do điều chỉnh,- Giảm do điều chỉnh,-,(4),-,-,(1),(5),,-4.0,,,-1.0,-5.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,294.295,66.486,49.501,30.828,10.828,451.938,294295.0,66486.0,49501.0,30828.0,10828.0,451938.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,707.179,7.308,7.924,11.213,1.813,735.437,707179.0,7308.0,7924.0,11213.0,1813.0,735437.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,741.456,5.031,6.153,11.547,1.810,765.997,741456.0,5031.0,6153.0,11547.0,1810.0,765997.0
