row_label_raw,row_label_full,Năm này > Số dư đầu năm > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng chung > 102.622 > 5.227,Dự phòng cụ thể > 8.922 > 21.791,numeric__Dự phòng chung > 102.622 > 5.227,numeric__Dự phòng cụ thể > 8.922 > 21.791
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(22.558),,-22558.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,107.849,8.155,107849.0,8155.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,101.054,15.854,101054.0,15854.0
Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Năm trước > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),1.568,279.740,1568.0,279740.0
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Năm trước > Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(286.672),,-286672.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,102.622,8.922,102622.0,8922.0
Chỉ tiết số dư dự phòng,Chỉ tiết số dư dự phòng,Chỉ tiết số dư dự phòng,31/12/2019,31/12/2018,,
Dự phòng rủi ro cho vay tổ chức tin dụng khác,Chỉ tiết số dư dự phòng > Dự phòng rủi ro cho vay tổ chức tin dụng khác,Dự phòng rủi ro cho vay tổ chức tin dụng khác,1.350,-,1350.0,
Dự phòng rủi ro cho vay khách hàng,Chỉ tiết số dư dự phòng > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,114.654,111.544,114654.0,111544.0
+ Dự phòng chung,Chỉ tiết số dư dự phòng > + Dự phòng chung,+ Dự phòng chung,106.499,102.622,106499.0,102622.0
+ Dự phòng cụ thể,Chỉ tiết số dư dự phòng > + Dự phòng cụ thể,+ Dự phòng cụ thể,8.155,8.922,8155.0,8922.0
Cộng,Chỉ tiết số dư dự phòng > Cộng,Cộng,116.004,111.544,116004.0,111544.0
