row_label_raw,row_label_full,31/12/2019,Tổng dư nợ cho vay,Tổng tiền gửi của khách hàng,Các cam kết tin dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi của khách hàng,numeric__Các cam kết tin dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán
Trong nước,Trong nước,Trong nước,15.056.951,15.667.758,254.709,668,1.050.857,15056951.0,15667758.0,254709.0,668.0,1050857.0
Ngoài nước,Ngoài nước,Ngoài nước,-,-,-,-,-,,,,,
31/12/2018,31/12/2018,31/12/2018,Tổng dư nợ cho vay,Tổng tiền gửi của khách hàng,Các cam kết tin dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,,,,,
Trong nước,31/12/2018 > Trong nước,Trong nước,13.771.099,14.678.435,239.384,-,2.064.349,13771099.0,14678435.0,239384.0,,2064349.0
Ngoài nước,Ngoài nước,Ngoài nước,-,-,-,-,-,,,,,
