row_label_raw,row_label_full,"Cổ tức nhận được trong năm từ góp vốn, mua cổ phần.",Năm 2019 > 1.408,Năm 2018 > 1.608,numeric__Năm 2019 > 1.408,numeric__Năm 2018 > 1.608
"Từ góp vốn, đầu tư dài hạn","Từ góp vốn, đầu tư dài hạn","Từ góp vốn, đầu tư dài hạn",1.408,1.608,1408.0,1608.0
Tổng cộng,Tổng cộng,Tổng cộng,1.408,1.608,1408.0,1608.0
