row_label_raw,row_label_full,"36. Tinh hình thu nhập của cán bộ, công nhân viên",Năm 2019,Năm 2018,numeric__Năm 2019,numeric__Năm 2018
"I. Tổng số cán bộ, công nhân viên","I. Tổng số cán bộ, công nhân viên","I. Tổng số cán bộ, công nhân viên",1.418,1.429,1418.0,1429.0
"II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên",,,,
1. Tổng quỹ lương,"II. Thu nhập của cán bộ, công nhân viên > 1. Tổng quỹ lương",1. Tổng quỹ lương,224.864,223.662,224864.0,223662.0
2. Tổng thu nhập,"II. Thu nhập của cán bộ, công nhân viên > 2. Tổng thu nhập",2. Tổng thu nhập,224.864,223.662,224864.0,223662.0
3. Tiền lương bình quân (đồng/người/tháng),"II. Thu nhập của cán bộ, công nhân viên > 3. Tiền lương bình quân (đồng/người/tháng)",3. Tiền lương bình quân (đồng/người/tháng),13,13,13.0,13.0
4. Thu nhập bình quân (đồng/người/tháng),"II. Thu nhập của cán bộ, công nhân viên > 4. Thu nhập bình quân (đồng/người/tháng)",4. Thu nhập bình quân (đồng/người/tháng),13,13,13.0,13.0
