row_label_raw,row_label_full,Chỉ tiêu,Không ảnh hưởng kỳ hạn,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Từ 1 - 5 năm,Trong hạn > Trên 5 năm,Tổng,numeric__Không ảnh hưởng kỳ hạn,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Từ 1 - 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",174.411,-,-,-,-,-,174.411,174411.0,,,,,,174411.0
Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,-,784.793,-,-,-,-,784.793,,784793.0,,,,,784793.0
"Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)",-,4.469.986,500.000,-,-,-,4.969.986,,4469986.0,500000.0,,,,4969986.0
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Chứng khoán kinh doanh (*) > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,668,-,-,-,-,668,,668.0,,,,,668.0
Cho vay khách hàng (*),Chứng khoán kinh doanh (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),-,533.268,2.855.471,7.350.446,1.808.920,2.008.846,14.556.951,,533268.0,2855471.0,7350446.0,1808920.0,2008846.0,14556951.0
Chứng khoán đầu tư (*),Chứng khoán kinh doanh (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,395.147,655.710,-,1.050.857,,,,395147.0,655710.0,,1050857.0
"Gộp vốn, đầu tư dài hạn (*)","Chứng khoán kinh doanh (*) > Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,-,-,-,-,125.655,125.655,,,,,,125655.0,125655.0
Tải sản cố định và Bất động sản đầu tư,Chứng khoán kinh doanh (*) > Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,-,-,-,-,1.192.230,1.192.230,,,,,,1192230.0,1192230.0
Tải sản Có khác (*),Chứng khoán kinh doanh (*) > Tải sản Có khác (*),Tải sản Có khác (*),330.825,-,-,-,-,-,330.825,330825.0,,,,,,330825.0
Tổng Tài sản,Chứng khoán kinh doanh (*) > Tổng Tài sản,Tổng Tài sản,505.236,5.788.715,3.355.471,7.745.593,2.464.630,3.326.731,23.186.376,505236.0,5788715.0,3355471.0,7745593.0,2464630.0,3326731.0,23186376.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,-,-,-,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,2.803.507,369.746,46.340,-,-,3.219.593,,2803507.0,369746.0,46340.0,,,3219593.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,5.979.056,2.966.310,5.950.395,771.997,-,15.667.758,,5979056.0,2966310.0,5950395.0,771997.0,,15667758.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,-,-,-,-,-,,,,,,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,-,,,,,,,
Phát hành giấy tờ cổ giá,Phát hành giấy tờ cổ giá,Phát hành giấy tờ cổ giá,-,-,-,-,-,-,-,,,,,,,
Các khoản nợ khác,Phát hành giấy tờ cổ giá > Các khoản nợ khác,Các khoản nợ khác,-,364.278,-,-,-,-,364.278,,364278.0,,,,,364278.0
Tổng Nợ phải trả,Phát hành giấy tờ cổ giá > Tổng Nợ phải trả,Tổng Nợ phải trả,-,9.146.841,3.336.056,5.996.735,771.997,-,19.251.629,,9146841.0,3336056.0,5996735.0,771997.0,,19251629.0
Mức chênh thanh khoản ròng,Phát hành giấy tờ cổ giá > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,505.236,(3.358.126),19.415,1.748.858,1.692.633,3.326.731,3.934.747,505236.0,-3358126.0,19415.0,1748858.0,1692633.0,3326731.0,3934747.0
