row_label_raw,row_label_full,Hội đồng quản trị,col_1,Bổ nhiệm,Miễn nhiệm,numeric__col_1,numeric__Bổ nhiệm,numeric__Miễn nhiệm
Ông Vũ Quang Lâm,Ông Vũ Quang Lâm,Ông Vũ Quang Lâm,Chủ tịch,04/10/2019,,,,
Ông Trần Thế Truyền,Ông Trần Thế Truyền,Ông Trần Thế Truyền,Thành viên,,04/10/2019,,,
Bà Trần Thị Việt Ánh,Bà Trần Thị Việt Ánh,Bà Trần Thị Việt Ánh,Thành viên,,04/10/2019,,,
Ông Trần Sỹ Đồng,Ông Trần Sỹ Đồng,Ông Trần Sỹ Đồng,Thành viên,,04/10/2019,,,
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Thành viên,04/10/2019,,,,
Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Thành viên,04/10/2019,,,,
Ông Nguyễn Cao Trí,Ông Nguyễn Cao Trí,Ông Nguyễn Cao Trí,Thành viên,04/10/2019,,,,
Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Thành viên,04/10/2019,,,,
Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Thành viên,04/10/2019,,,,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,Bổ nhiệm,Miễn nhiệm,,,
Ông Nguyễn Hữu Hạnh,Ông Nguyễn Hữu Hạnh,Ông Nguyễn Hữu Hạnh,Trường ban,,04/10/2019,,,
Bà Đặng Thị Kiều Phước,Bà Đặng Thị Kiều Phước,Bà Đặng Thị Kiều Phước,Trường ban,04/10/2019,,,,
Bà Vũ Quỳnh Mai,Bà Vũ Quỳnh Mai,Bà Vũ Quỳnh Mai,Kiểm soát viên,,,,,
Bà Nguyễn Đào Phương Linh,Bà Nguyễn Đào Phương Linh,Bà Nguyễn Đào Phương Linh,Kiểm soát viên,,,,,
